id,dataset_id,author_id,rank,role
1266,5,147,1,
1267,5,148,2,
1268,5,149,3,
1269,5,150,4,
1270,5,151,5,
3478,210,3789,1,
3479,210,3790,2,
3480,210,3791,3,
3481,211,3792,1,
3482,211,3793,2,
3483,211,3794,3,
3484,211,3795,4,
3485,211,3796,5,
3486,212,3803,1,
3487,212,3804,2,
3488,212,3805,3,
3489,212,3806,4,
3490,212,3807,5,
3491,213,3808,1,
3492,213,3809,2,
14013,2335,14013,10,
14014,2335,14014,1,
14015,2335,14015,2,
14016,2335,14016,5,
14017,2335,14017,6,
14018,2335,14018,11,
14019,2335,14019,3,
14020,2335,14020,4,
14021,2335,14021,7,
14022,2335,14022,8,
14023,2335,14023,9,
