id,dataset_id,name,location,extension,size,description,date_stamp,format_id,type_id,code,index4blast,download_count,alternative_location
446,5,readme.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/readme.txt,txt,1077,"",2012-09-11,1,1,,,0,
447,5,Pa9a_assembly_config4.contig.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Pa9a_assembly_config4.contig.gz,contig,595630059,"",2012-09-11,2,9,A. vittata,,2,
448,5,Pa9a_assembly_config4.scafSeq.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Pa9a_assembly_config4.scafSeq.gz,scafSeq,441847022,"",2012-09-11,2,132,A. vittata,,1,
449,5,Parrot.k31.ContigLengths.txt.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.ContigLengths.txt.gz,txt,2157050,"",2012-09-11,1,131,A. vittata,,1,
450,5,Parrot.k31.Contigs.fasta.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.Contigs.fasta.gz,fasta,354964397,"",2012-09-11,2,9,A. vittata,,2,
451,5,Parrot.k31.CoverageDistribution.txt.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.CoverageDistribution.txt.gz,txt,80023,"",2012-09-11,1,7,A. vittata,,0,
452,5,Parrot.k31.CoverageDistributionAnalysis.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.CoverageDistributionAnalysis.txt,txt,317,"",2012-09-11,1,7,A. vittata,,0,
453,5,Parrot.k31.Library1.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.Library1.txt,txt,4245,"",2012-09-11,1,7,A. vittata,,0,
454,5,Parrot.k31.LibraryStatistics.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.LibraryStatistics.txt,txt,593,"",2012-09-11,1,7,A. vittata,,0,
455,5,Parrot.k31.MessagePassingInterface.txt.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.MessagePassingInterface.txt.gz,txt,38796889,"",2012-09-11,1,7,A. vittata,,0,
456,5,Parrot.k31.NetworkTest.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.NetworkTest.txt,txt,4374,"",2012-09-11,1,7,A. vittata,,0,
457,5,Parrot.k31.NumberOfSequences.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.NumberOfSequences.txt,txt,582,"",2012-09-11,1,7,A. vittata,,0,
458,5,Parrot.k31.OutputNumbers.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.OutputNumbers.txt,txt,472,"",2012-09-11,1,7,A. vittata,,0,
459,5,Parrot.k31.RayCommand.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.RayCommand.txt,txt,160,"",2012-09-11,1,7,A. vittata,,0,
460,5,Parrot.k31.RayVersion.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.RayVersion.txt,txt,25,"",2012-09-11,1,7,A. vittata,,0,
