id,surname,middle_name,first_name,orcid,gigadb_user_id,custom_name
2677,Antunes,"",Agostinho,0000-0002-1328-1732,,
3077,Gilbert,P,M.Thomas,0000-0002-5805-7195,,
3108,Jarvis,D,Erich,0000-0001-8931-5049,,
3197,Nielsen,"",Rasmus,0000-0003-0513-6591,,
4590,Munoz,GG,Angel,"",,""
4591,Thomson,C,Madeleine,,,
4592,Goddard,"",Lisa,,,
4593,Aldighieri,"",Sylvain,,,
4594,Dios,de,VíctorResco,,,
4595,Gessler,"",Arthur,,,
4596,Ferrio,Pedro,Juan,,,
4597,Alday,G,Josu,,,
4598,Bahn,"",Michael,,,
4599,Castillo,del,Jorge,,,
4600,Devidal,"",Sébastien,,,
4601,García-Muñoz,"",Sonia,,,
4602,Kayler,"",Zachary,,,
4603,Landais,"",Damien,,,
4604,Martín-Gómez,"",Paula,,,
4605,Milcu,"",Alexandru,,,
4606,Piel,"",Clément,,,
4607,Pirhofer-Walzl,"",Karin,,,
4608,Ravel,"",Olivier,,,
4609,Salekin,"",Serajis,,,
4610,Tissue,T,David,,,
4611,Tjoelker,G,Mark,,,
4612,Voltas,"",Jordi,,,
4613,Roy,"",Jacques,,,
4670,Yang,"",Huanming,0000-0002-0858-3410,,
4672,Kristiansen,"",Karsten,0000-0002-6024-0917,,
5171,Cho,"",Hohyun,0000-0003-1512-0622,,
5172,Ahn,"",Minkyu,0000-0001-6512-0167,,
5173,Ahn,"",Sangtae,0000-0001-9487-5649,,
5174,Kwon,"",Moonyoung,"",,
5175,Jun,Chan,Sung,0000-0001-5357-4436,,
5215,Zhong,,Huanzi,0000-0001-9512-1750,,
5216,Fang,,Chao,0000-0002-6830-3337,,
5217,Fan,,Yanqun,0000-0002-8698-464X,,
5218,Lu,,Yan,0000-0003-1183-875X,,
5219,Wen,,Bo,0000-0003-2261-3150,,
5220,Ren,,Huahui,0000-0003-1154-9448,,
5221,Hou,,Guixue,0000-0003-0342-9593,,
5222,Yang,,Fangming,0000-0001-6979-7423,,
5223,Xie,,Hailiang,0000-0002-3626-6316,,
5224,Jie,,Zhuye,orcid.org/0000-0002-2299-6895,,
5225,Peng,,Ye,0000-0003-3791-2305,,
5226,Ye,,Zhiqiang,0000-0002-8277-504X,,
5227,Wu,,Jiegen,0000-0003-2218-2485,,
5228,Zi,,Jin,0000-0002-1891-1393,,
5229,Zhao,"",Guoqing,"",,
5230,Chen,,Jiayu,0000-0002-5036-457X,,
5231,Bao,,Xiao,0000-0001-5812-6448,,
5232,Hu,,Yihe,0000-0002-6600-5301,,
5233,Gao,,Yan,0000-0002-2293-6083,,
5234,Zhang,,Jun,0000-0001-6859-6646,,
5236,Madsen,,Lise,0000-0003-4468-1947,,
5237,Ni,,Chuanming,0000-0003-0190-264X,,
