id,submitter_id,image_id,identifier,title,description,dataset_size,ftp_site,upload_status,excelfile,excelfile_md5,publication_date,modification_date,publisher_id,token,fairnuse,curator_id,manuscript_id,handing_editor
304,642,318,100243,"Supporting data for ""Analyzing climate variations on multiple timescales can guide Zika virus response measures""","The emergence of Zika virus (ZIKV) as a public health emergency in Latin America and the Caribbean (LAC) occurred during a period of severe drought and unusually high temperatures. Speculation in the literature exists that these climate conditions were associated with the 2015/2016 El Niño event and/or climate change but to date no quantitative assessment has been made. Analysis of related flaviviruses -such as dengue and chikungunya, which are transmitted by the same vectors- suggests that ZIKV dynamics is sensitive to climate seasonality and longer-term variability and trends. A better understanding the climate conditions conducive to the 2014-2016 epidemic may permit the development of climate-informed short- and long-term strategies for ZIKV prevention and control.<br>Using a novel timescale-decomposition methodology, we demonstrate that extreme climate anomalies observed in most parts of South America during the current epidemic are not caused exclusively by El Niño or climate change -as speculated-, but are the result of a particular combination of climate signals acting at multiple timescales. In Brazil, the heart of the epidemic, we find that dry conditions present during 2013-2015 are explained primarily by year-to-year variability superimposed on decadal variability, but with little contribution of long-term trends. In contrast, the extreme warm temperatures of 2014-2015 resulted from the compound effect of climate change, decadal and year-to-year climate variability.<br>Here we provide the data upon which we based our interpretations. As described in the manuscript these have been aquired from the full data, which are available at http://iridl.ldeo.columbia.edu/maproom/Health/index.html and http://datoteca.ole2.org/maproom/Sala_de_Salud-Clima/index.html.es <br>",37888,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100243/,Published,100243newversion.xls,aba88ba4b808f7296b6fd833473a2f2b,2016-09-20,,3,MmlETDw4QYtkJpis,,,GIGA-D-16-00038,
305,653,319,100244,"Supporting data for ""Circadian rhythms have significant effects on leaf-to-canopy scale gas exchange under field conditions""","Molecular clocks drive oscillations in leaf photosynthesis, stomatal conductance and other cell and leaf level processes over ~24 h under controlled laboratory conditions. The influence of such circadian regulation over whole-canopy fluxes remains uncertain and diurnal CO2 and H2O vapor flux dynamics in the field are currently interpreted as resulting almost exclusively from direct physiological responses to variations in light, temperature and other environmental factors. We tested whether circadian regulation would affect plant and canopy gas exchange at the Montpellier European CNRS Ecotron. Canopy and leaf level fluxes were constantly monitored under field-like environmental conditions, and under constant environmental conditions (no variation in temperature, radiation or other environmental cues).<br>
We show direct experimental evidence at canopy scales of circadian regulation of daytime gas exchange: 20-79% of the daily variation range in CO2 and H2O fluxes occurred under circadian entrainment in canopies of an annual herb (bean) and of a perennial shrub (cotton). We also observed that considering circadian regulation improved performance by 8-17% in commonly used stomatal conductance models.<br> 
Our results show that circadian controls affect diurnal patterns of CO2 and H2O fluxes in entire canopies in field-like conditions and its consideration significantly improves model performance. Circadian controls act as a “memory” of the past conditions experienced by the plant that synchronizes metabolism across entire plant canopies.<br>
",930816,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100244/,Published,100244newversion.xls,3579b0cb3d9ac6fe954265f99ef4bdc4,2016-10-05,,3,7QvZisWr8LezIT4S,,,GIGA-D-16-00044,
369,808,384,100295,"Supporting data for ""EEG datasets for motor imagery brain computer interface""","Most investigators of brain computer interface (BCI) believe that BCI can be achieved through induced neuronal activity from the cortex, but not by evoked neuronal activity. Motor imagery (MI) based BCI is one of the standard concepts of BCI, in that the user can generate induced activity by imagining motor movements. However, variations in performance over sessions and subjects are too severe to overcome easily; therefore, a basic understanding and investigation of BCI performance variation is necessary to find critical evidence of performance variation.<br>Here we present not only EEG datasets for MI BCI from 52 subjects, but also the results of a psychological and physiological questionnaire, EMG datasets, the locations of 3D EEG electrodes, and EEGs for non-task related states. <br>We validated our EEG datasets by using the percentage of bad trials, event-related desynchronization/synchronization (ERD/ERS) analysis, and classification analysis. After conventional rejection of bad trials, we showed contralateral ERD and ipsilateral ERS in the somatosensory area, which are well-known patterns of MI. Finally, we showed that 73.08% of datasets (38 subjects) included reasonably discriminative information.<br>Our EEG datasets included information necessary to determine statistical significance; they consisted of well-discriminated datasets (38 subjects) and less-discriminative datasets. These may provide researchers with opportunities to investigate human factors related to MI BCI performance variation, and may also achieve subject-to-subject transfer by using metadata, including a questionnaire, EEG coordinates, and EEGs for non-task related states. <br>",10704221184,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100295/,Published,100295newversion.xls,c16c8599242d8c4388f44a8050f945d0,2017-05-05,,3,JWZifgLsCFnuk8me,,,GIGA-D-16-00104,
373,835,388,100306,"Supporting data for ""Lipidomic profiling reveals distinct differences in plasma lipid composition in healthy, prediabetic and type 2 diabetic individuals""","The relationship between dyslipidemia and type 2 diabetes (T2D) has been extensively reported, but the global lipid profiles, especially in the East Asia population, associated with the development of T2D remain to be characterized. <br>Liquid chromatography coupled to tandem mass spectrometry (LC-MS/MS) was applied to detect the global lipidome in fasting plasma of 293 Chinese individuals, including 114 T2D patients, 81 prediabetic subjects and 98 individuals with normal glucose tolerance (NGT). Both qualitative and quantitative analyses revealed a gradual change in plasma lipid features going from NGT individuals over prediabetic to T2D individuals with T2D patients exhibiting characteristics close to those in prediabetic individuals, whereas they differed significantly from individuals with NGT. We constructed and validated a random forest (RF) classifier with 28 lipidomic features that effectively discriminated T2D from NGT or prediabetes. The majority of the selected features showed significant correlations with diabetic clinical indices.<br>Hydroxybutyrylcarnitine was positively correlated with fasting plasma glucose (FPG), 2-hour postprandial glucose (2h-PG), glycated hemoglobin (HbA1c) and insulin resistance index (HOMA-IR), and lysophosphatidylcholines such as LysoPC (18:0), LysoPC (18:1) and LysoPC (18:2) were all negatively correlated with HOMA-IR.
",3409920,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100306/,Published,100306newversion.xls,737a263a79e2bdb27805bc91d52433d5,2017-05-08,,3,6IgolGawz5Pn39Ed,,,GIGA-D-16-00114,
429,951,438,100341,"Supporting data for ""Lipidomics profiling reveals the role of glycerophospholipid metabolism in psoriasis""","Psoriasis is a common and chronic inflammatory skin disease complicated by genetic-environmental interactions. Although genomic, transcriptomic and proteomic analyses have been performed to investigate the pathogenesis of psoriasis, the role of metabolites in psoriasis, particularly of lipids, remains unclear. Lipids not only comprise the bulk of the cellular membrane bilayers but also regulate a variety of biological processes, such as cell proliferation, apoptosis, immunity, angiogenesis and inflammation. 
<br>
In this study, an untargeted lipidomics approach was used to study the lipid profiles in psoriasis and identify lipid metabolite signatures for psoriasis through ultra-performance liquid chromatography-quadrupole tandem mass spectrometry. Plasma samples from 90 participants (45 healthy and 45 psoriasis patients) were collected and detected. Statistical analysis was applied to find different features between the two subjects. In addition, ELISA was performed to examine differential expression lipids in psoriatic patient plasma. We finally identified several differential expression lipids including LPAs, LysoPCs, PIs, PCs and PAs, among these metabolites, LPAs, LysoPCs and PAs were significantly increased, while PCs and PIs were down-regulated in psoriasis group.
<br>",104707072,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100341/,Published,100341newversion.xls,ede25ab39bec5941af39af3b54453354,2017-08-25,,3,WvLCQf4zPuDZBd2A,,,GIGA-D-17-00106,
441,978,448,100350,"Supporting data for ""LAGOS-NE: A multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. lakes""","Understanding the factors that affect water quality and the ecological services provided by freshwater ecosystems is an urgent global environmental issue. Predicting how water quality will respond to global changes not only requires water quality data, but also information about the ecological context of individual water bodies across broad spatial extents. Because lake water quality is usually sampled in limited geographic regions, often for limited time periods, assessing the environmental controls of water quality requires compilation of many datasets across broad regions and across time into an integrated database. LAGOS-NE accomplishes this goal for lakes in the northeastern-most 17 U.S. states. 
<br>
LAGOS-NE contains data for 51,101 lakes and reservoirs larger than 4 ha in 17 lake-rich U.S. states. The database includes three data modules for: lake location and physical characteristics for all lakes; ecological context (i.e., the land use, geologic, climatic, and hydrologic setting of lakes) for all lakes; and in situ measurements of lake water quality for a subset of the lakes from the past three decades for approximately 2,600-12,000 lakes depending on the variable. The database contains over 200,000 measures of chlorophyll concentration and almost 900,000 measures of Secchi depth.  The water quality data were compiled from 87 lake water quality datasets from federal, state, tribal, and non-profit agencies, university researchers, and citizen scientists. 

<br>
This database is one of the largest and most comprehensive databases of its type because it includes both in situ measurements and ecological context data. Because ecological context can be used to study a variety of other questions about lakes, streams, and wetlands, this database can also be used as the foundation for other studies of freshwaters at broad spatial and ecological scales.
<br>
Please note- all current data is hosted on the Environmental Data Initiative portal (<a href=https://portal-s.edirepository.org/ target=blank >EDI</a>). The copy that is hosted on the GigaDB FTP server was taken at point of publication and will not be updated, please visit the EDI portal for the most recent updates.",6836569088,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100350/,Published,100350newversion.xls,9233ffa3cedc886c3edb154e05022b9e,2017-09-22,,3,seFHmPMpGfx9Du5R,,,GIGA-D-17-00112,
617,1312,619,100472,"Supporting data for ""KREAP: An automated Galaxy Platform to Quantify Re-Epithelialization Kinetics""","In vitro scratch assays have been widely used to study the influence of bioactive substances on the processes of cell migration and proliferation that are involved in re-epithelialization. The development of high-throughput microscopy and image analysis has enabled scratch assays to become compatible with high-throughput research. However, effective processing and in-depth analysis of such high-throughput image-datasets is far from trivial and requires integration of multiple image processing and data extraction software tools.<br>We developed and implemented a Kinetic Re-Epithelialization Analysis Pipeline (KREAP) in Galaxy. The KREAP toolbox incorporates freely available image analysis tools and automatically performs image segmentation and feature extraction of each image series, followed by automatic quantification of cells inside and outside the scratched area over time. The enumeration of infiltrating cells over time is modelled to extract three biologically relevant parameters that describe re-epithelialization kinetics. The output of the tools is organized, displayed, and saved in the Galaxy environment for future consultation. <br>The Galaxy KREAP toolbox provides an open-source, easy-to-use, web-based platform for reproducible image processing and data analysis of high-throughput scratch assays. The KREAP toolbox could assist a broad scientific community in the discovery of compounds that are able to modulate re-epithelialization kinetics.",6478771200,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100472/,Published,100472newversion.xls,7b85586dac52802946224b9431d9faaf,2018-07-16,,3,BGupZk4PyQnI3oWX,,,GIGA-D-17-00209,
640,1370,641,100488,"Supporting data for ""Monitoring changes in the Gene Ontology and their impact on genomic data analysis""","The Gene Ontology (GO) is one of the most widely used resources in molecular and cellular biology, largely through the use of ""enrichment analysis"". To facilitate informed use of GO, we present GOTrack (https://gotrack.msl.ubc.ca), which provides access to historical records and trends in the Gene Ontology and GO annotations (GOA). GOTrack gives users access to gene- and term-level information on annotations for nine model organisms as well as an interactive tool that measures the stability of enrichment results over time for user-provided ""hit lists"" of genes. To document the effects of GO evolution on enrichment, we analyzed over 2500 published hit lists of human genes (most over 9 years old). 53% of hit lists were considered to yield significantly stable enrichment results. Because stability is far from assured for any individual hit list, GOTrack can lead to more informed and cautious application of GO to genomics research.",331383808,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100488/,Published,100488newversion.xls,6eba7b61df1e9286523293e057af78af,2018-08-06,,3,JwxZUDiy2mn8Wst9,,,GIGA-D-18-00204,
649,1392,650,100495,"Supporting data for ""Ximmer: A System for Improving Accuracy and Consistency of CNV Calling from Exome Data""","While exome and targeted next generation DNA sequencing are primarily used for detecting single nucleotide changes and small indels, detection of copy number variants (CNVs) can provide highly valuable additional information from the data. Although there are dozens of exome CNV detection methods available, these are often difficult to use and accuracy varies unpredictably between and within data sets. <br>We present Ximmer, a tool which supports an end to end process for evaluating, tuning and running analysis methods for detection of CNVs in germline samples.  Ximmer includes a simulation framework, implementations of several commonly used CNV detection methods, and a visualisation and curation tool which together enable interactive exploration and quality control of CNV results. Using Ximmer, we comprehensively evaluate CNV detection on four data sets using five different detection methods. We show that application of Ximmer can improve accuracy and aid in quality control of CNV detection results. In addition, Ximmer can be used to run analyses and explore CNV results in exome data.<br>Ximmer offers a comprehensive tool and method for applying and improving accuracy of CNV detection methods for exome data.",228373504,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100495/,Published,100495newversion.xls,7e7e837b8964ad36bd43931d66a356cf,2018-08-23,,3,dxMqiUPFlQ5I41vg,,38,GIGA-D-18-00165,
1790,1480,697,100530,"Supporting data for ""NanoAmpli-Seq: A workflow for amplicon sequencing for mixed microbial communities on the nanopore sequencing platform.""","Amplicon sequencing on Illumina sequencing platforms leverages their deep sequencing and multiplexing capacity, but is limited in genetic resolution due to short read lengths. While Oxford Nanopore or Pacific Biosciences platforms overcome this limitation, their application has been limited due to higher error rates or smaller data output. In this study, we introduce an amplicon sequencing workflow, i.e., NanoAmpli-Seq, that builds on Intramolecular-ligated Nanopore Consensus Sequencing (INC-Seq) approach and demonstrate its application for full-length 16S rRNA gene sequencing. NanoAmpli-Seq includes vital improvements to the aforementioned protocol that reduces sample-processing time while significantly improving sequence accuracy. The developed protocol includes chopSeq software for fragmentation and read orientation correction of INC-Seq consensus reads while nanoClust algorithm was designed for read partitioning-based de novo clustering and within cluster consensus calling to obtain full-length 16S rRNA gene sequences. The datafiles and protocols provided here represent the intermediate files during data processing and associated detailed workflow.",228742144,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100530/,Published,100530newversion.xls,8cfd3ce5bb555d0e06a024794c7af039,2018-11-05,,3,vOcXCqz25t3IQSxl,,38,GIGA-D-18-00251,
