id,dataset_id,name,location,extension,size,description,date_stamp,format_id,type_id,code,index4blast,download_count,alternative_location
94426,304,readme.txt,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100243/readme.txt,txt,1189,"",2016-09-06,1,1,,,1,
94427,304,p_anom.nc,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100243/p_anom.nc,nc,1816,NetCDF format data underlying the images in Figure 2,2016-09-06,6,153,,,4,
94428,304,p_decadal.nc,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100243/p_decadal.nc,nc,3772,NetCDF format data underlying the images in Figure 2,2016-09-06,6,153,,,0,
94429,304,p_trend.nc,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100243/p_trend.nc,nc,3264,NetCDF format data underlying the images in Figure 2,2016-09-06,6,153,,,0,
94430,304,p_interannual.nc,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100243/p_interannual.nc,nc,3764,NetCDF format data underlying the images in Figure 2,2016-09-06,6,153,,,0,
94431,304,t_anom.nc,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100243/t_anom.nc,nc,1836,NetCDF format data underlying the images in Figure 2,2016-09-06,6,153,,,0,
94432,304,t_decadal.nc,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100243/t_decadal.nc,nc,3828,NetCDF format data underlying the images in Figure 2,2016-09-06,6,153,,,1,
94433,304,t_interannual.nc,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100243/t_interannual.nc,nc,3820,NetCDF format data underlying the images in Figure 2,2016-09-06,6,153,,,0,
94434,304,t_trend.nc,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100243/t_trend.nc,nc,3308,NetCDF format data underlying the images in Figure 2,2016-09-06,6,153,,,0,
94435,305,readme.txt,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100244/readme.txt,txt,1041,"",2016-09-23,1,1,,,29,
94436,305,Cirflux_ScalingAndModeling_canopyLevelData_GigaScience.csv,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100244/Cirflux_ScalingAndModeling_canopyLevelData_GigaScience.csv,csv,885516,net canopy level CO2 and H2O exchange measurement data,2016-09-23,6,139,,,28,
94437,305,Cirflux_ScalingAndModeling_leafLevelData_GigaScience.csv,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100244/Cirflux_ScalingAndModeling_leafLevelData_GigaScience.csv,csv,34429,leaf level gas exchange measurement data,2016-09-23,6,139,,,28,
96248,369,readme.txt,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100295/readme.txt,txt,2237,"",2017-04-06,1,1,FILE_CODE,,238,
