id,uri,primary_name_display,country
423,http://dx.doi.org/10.13039/100004964,Minnesota Pollution Control Agency,""
655,http://dx.doi.org/10.13039/501100000781,European Research Council,""
1338,http://dx.doi.org/10.13039/501100000038,Natural Sciences and Engineering Research Council of Canada,""
1371,http://dx.doi.org/10.13039/501100001809,National Natural Science Foundation of China,""
1413,http://dx.doi.org/10.13039/501100000024,Canadian Institutes of Health Research,""
2201,http://dx.doi.org/10.13039/100004855,New York State Department of Environmental Conservation,""
2698,http://dx.doi.org/10.13039/100000199,U.S. Department of Agriculture,""
2754,http://dx.doi.org/10.13039/501100001665,Agence Nationale de la Recherche,""
2788,http://dx.doi.org/10.13039/501100001659,Deutsche Forschungsgemeinschaft,""
2854,http://dx.doi.org/10.13039/100000202,U.S. Fish and Wildlife Service,""
2886,http://dx.doi.org/10.13039/100000203,U.S. Geological Survey,""
3174,http://dx.doi.org/10.13039/100004440,Wellcome Trust,""
3294,http://dx.doi.org/10.13039/501100001736,German-Israeli Foundation for Scientific Research and Development,""
3331,http://dx.doi.org/10.13039/100000092,U.S. National Library of Medicine,""
3333,http://dx.doi.org/10.13039/501100001732,Danish National Research Foundation,""
3470,http://dx.doi.org/10.13039/100000139,U.S. Environmental Protection Agency,""
3543,http://dx.doi.org/10.13039/501100000266,Engineering and Physical Sciences Research Council,""
3559,http://dx.doi.org/10.13039/501100000268,Biotechnology and Biological Sciences Research Council,""
3598,http://dx.doi.org/10.13039/501100000270,Natural Environment Research Council,""
3602,http://dx.doi.org/10.13039/501100000272,National Institute for Health Research,""
3658,http://dx.doi.org/10.13039/501100000289,Cancer Research UK,""
3741,http://dx.doi.org/10.13039/100000001,National Science Foundation,""
3743,http://dx.doi.org/10.13039/100000002,National Institutes of Health,""
3745,http://dx.doi.org/10.13039/100000015,U.S. Department of Energy,""
3807,http://dx.doi.org/10.13039/100000055,National Institute on Deafness and Other Communication Disorders,""
3808,http://dx.doi.org/10.13039/100000054,National Cancer Institute,""
3998,http://dx.doi.org/10.13039/100000873,Andrew W. Mellon Foundation,""
4081,http://dx.doi.org/10.13039/100000062,National Institute of Diabetes and Digestive and Kidney Diseases,""
4371,http://dx.doi.org/10.13039/501100000923,Australian Research Council,""
4485,http://dx.doi.org/10.13039/100005825,National Institute of Food and Agriculture,""
5012,http://dx.doi.org/10.13039/501100002347,Bundesministerium für Bildung und Forschung,""
5801,http://dx.doi.org/10.13039/501100003329,Ministerio de Economía y Competitividad,""
5971,http://dx.doi.org/10.13039/100006733,Indiana University,""
6032,http://dx.doi.org/10.13039/100006752,U.S. Army Corps of Engineers,""
6169,unknown,Shenzhen Municipal Government of China,China
6198,unknown,Ministry of Science and Technology of China,""
6244,unknown,Suzhou Biobank,""
6257,unknown,German Federal Ministry of Education and Research,""
6269,unknown,Natural Science Foundation of Hunan province,China
6273,http://dx.doi.org/10.13039/100011460,Iowa Department of Natural Resources,""
11526,http://dx.doi.org/10.13039/501100003554,Lundbeckfonden,""
11678,http://dx.doi.org/10.13039/501100004189,Max-Planck-Gesellschaft,""
11760,http://dx.doi.org/10.13039/100011137,Michigan Agriculture Experiment Station,""
11763,http://dx.doi.org/10.13039/100011028,Michigan Department of Natural Resources,""
12320,http://dx.doi.org/10.13039/501100008982,National Science Foundation,""
13492,http://dx.doi.org/10.13039/100011102,Seventh Framework Programme,""
14871,http://dx.doi.org/10.13039/100009614,University of Rhode Island,""
14949,http://dx.doi.org/10.13039/100007015,University of Wisconsin-Madison,""
15067,http://dx.doi.org/10.13039/501100005715,Université du Maine,""
15182,http://dx.doi.org/10.13039/100008398,Villum Fonden,""
15252,http://dx.doi.org/10.13039/100011502,Washington Grain Commission,""
15522,unknown,State of Maine,""
