id,location,tag,url,license,photographer,source
318,100243.gif,Fig3. Temperature variation 2013-15,http://gigadb.org/images/data/cropped/100243.gif,CC0,Munoz et al 2016,Munoz et al 2016
319,100244.jpg,coupedome3,http://gigadb.org/images/data/cropped/100244.jpg,Unknown,"Cros,Saubion, Billet, Chabiky",http://www.ecotron.cnrs.fr/images/stories/coupedome3.jpg
384,Images_384.png,Fig6. Trained spatial filter left/right hand MI,http://gigadb.org/images/uploads/image_upload/Images_384.png,CC0,SC Jun,SC Jun
388,100306.jpg,LC-MS/MS untargeted plasma lipidomics of Chinese adults,http://gigadb.org/images/data/cropped/100306.jpg,CC0,Chao Fang,BGI-Shenzhen
438,100341.jpg,Psoriasis,http://gigadb.org/images/data/cropped/100341.jpg,CC0,Cong Peng,Cong Peng
448,100350-LAGOS.jpg,LAGOS logo,http://gigadb.org/images/data/cropped/100350.jpg,CC0,Soranno et al. 2017,Soranno et al. 2017
619,100472.png,KREAP workflow. The VM contains the KREAP toolbox and uses the Galaxy GUI,http://gigadb.org/images/data/cropped/100472.png,CC0,Fernandez-Gutierrez et al 2018,Fernandez-Gutierrez et al 2018
641,100488.png,Overview of approach in constructing GOTrack,http://gigadb.org/images/data/cropped/100488.png,CC0,Jacobson et al 2018,Jacobson et al 2018
650,100495.png,The Ximmer Process,http://gigadb.org/images/data/cropped/100495.png,CC0,sadedin et al 2018,sadedin et al 2018
697,100530.png,Concatemerization of amplicons,http://gigadb.org/images/data/cropped/100530.png,CC0,Szymon Calus,Szymon Calus
702,Images_702.png,PhenoMeNal,http://gigadb.org/images/uploads/image_upload/Images_702.png,CC0,PhenoMeNal,PhenoMeNal
845,Images_845.png,EEG,http://gigadb.org/images/uploads/image_upload/Images_845.png,This work is licensed under a Creative Commons Attribution 4.0 International License,"Min-ho, Lee","Min-ho, Lee"
858,Images_858.png,Modelling Genotypes with microC,http://gigadb.org/images/uploads/image_upload/Images_858.png,CC0,"Voukantsis et al., 2018","Voukantsis et al., 2018"
1602,Images_1602.png,cd-CAP - combinatorial detection of Conserved Alteration Patterns,http://gigadb.org/images/uploads/image_upload/Images_1602.png,CC0,"Hodzic et al., 2019","Hodzic et al., 2019"
1612,Images_1612.png,Haemadipsa sp.,http://gigadb.org/images/uploads/image_upload/Images_1612.png,CC0,Andrew R. Tilker,Andrew R. Tilker
