id,dataset_id,is_primary,link,description
444,373,t,MetaboLights:MTBLS352,
504,429,t,MTBLS:MTBLS408,
750,649,f,SRA:SRP132744,
751,649,f,SRA:SRP010920,
752,649,f,SRA:SRP148622,
753,649,f,dbGaP:phs001272,
1540,1790,t,BioProject:PRJEB21005,
1643,1848,t,BioProject:PRJEB27367,
1645,1850,t,BioProject:PRJNA512897,
1653,1848,t,Genbank:MH464789,
1654,1848,t,Genbank:MH464790,
1655,1848,t,Genbank:MH464791,
1656,1848,t,Genbank:MH464792,
1657,1848,t,Genbank:MH464793,
1658,1848,t,Genbank:MH464794,
1659,1848,t,Genbank:MH464795,
1660,1848,t,Genbank:MH464796,
1661,1848,t,Genbank:MH464797,
1662,1848,t,Genbank:MH464798,
1663,1848,t,Genbank:MH464799,
1664,1848,t,Genbank:MH464800,
1665,1848,t,Genbank:MH464801,
1699,1887,t,MetaboLights:MTBLS757,
1847,1933,t,MTBLS:MTBLS801,
1898,1981,t,BioProject          :PRJNA510326,
1902,1991,t,BioProject:PRJNA542357,
1912,1996,t,BioProject:PRJNA534469,
1915,1999,t,BioProject:PRJNA386670,
1916,1999,t,BioProject:PRJNA434299,
1917,1999,t,BioProject:PRJNA379574,
1918,1999,t,BioProject:PRJNA263600,
1919,1999,t,BioProject:PRJNA294306,
1920,1999,t,BioProject:PRJNA305942,
1921,1999,t,BioProject:PRJNA371462,
1942,1996,t,PRIDE:PXD016522,
1948,2021,t,BioProject:PRJNA574010,
1949,2021,t,BioProject:PRJEB35929,
1955,2024,t,BioProject:PRJNA503577,
1959,2034,f,ProteomeCentral:PXD015597,
1960,2038,t,SRA:SRP146136,
1961,2038,t,SRA:SRP146139,
1962,2038,t,SRA:SRP146175,
1963,2038,t,SRA:SRP146204,
1964,2038,t,SRA:SRP146205,
1965,2038,t,SRA:SRP146213,
1966,2038,t,SRA:SRP148019,
1967,2038,t,SRA:SRP148020,
1968,2038,t,SRA:SRP148021,
1969,2038,t,SRA:SRP148022,
1970,2038,t,SRA:SRP148023,
1971,2038,t,SRA:SRP148024,
1972,2038,t,SRA:SRP148025,
1973,2038,t,SRA:SRP148026,
1974,2038,t,SRA:SRP148027,
1975,2038,t,SRA:SRP148028,
1976,2038,t,SRA:SRP148029,
1977,2038,t,SRA:SRP148030,
1978,2038,t,SRA:SRP148037,
1979,2038,t,SRA:SRP148038,
1980,2038,t,SRA:SRP148039,
1981,2038,t,SRA:SRP148040,
1982,2038,t,SRA:SRP148041: SRA:SRP148042,
1983,2038,t,SRA:SRP148043,
1984,2038,t,SRA:SRP148044,
1985,2038,t,SRA:SRP148045,
1986,2038,t,SRA:SRP148046,
1987,2038,t,SRA:SRP148047,
1988,2038,t,SRA:SRP148048,
1989,2038,t,SRA:SRP148049,
1990,2038,t,SRA:SRP148050,
1991,2038,t,SRA:SRP148051,
1992,2038,t,SRA:SRP148052,
1993,2038,t,SRA:SRP148053,
1994,2038,t,SRA:SRP148054,
1995,2038,t,SRA:SRP148055,
1996,2038,t,SRA:SRP148056,
1997,2038,t,SRA:SRP148057,
1998,2038,t,SRA:SRP148058,
1999,2038,t,SRA:SRP148059,
2000,2038,t,SRA:SRP148060,
2001,2039,t,BioProject:PRJNA579885,
