id,identifier,pmid,dataset_id
361,10.1186/s13742-016-0146-1,,304
363,10.1186/s13742-016-0149-y,,305
439,10.1093/gigascience/gix034,,369
448,10.1093/gigascience/gix036,,373
484,10.1093/gigascience/gix087,,429
497,10.1093/gigascience/gix101,,441
632,10.1093/gigascience/giy103,,640
663,10.1093/gigascience/giy112,,649
672,10.1093/gigascience/giy140,,1790
687,10.1093/gigascience/giy149,,1795
700,10.1093/gigascience/giz002,,1804
703,10.1093/gigascience/giz010,,1817
1830,10.1093/gigascience/giy078,,617
1842,10.1093/gigascience/giz006,,1850
1844,10.1093/gigascience/giz024,,1838
1849,10.1093/gigascience/giz029,,1848
1869,10.1093/gigascience/giz051,,1872
1870,10.1093/gigascience/giz055,,1884
1879,10.1093/gigascience/giz061,,1887
1892,10.1093/gigascience/giz084,,1917
1911,10.1093/gigascience/giz102,,1933
1939,10.1093/gigascience/giz133,,1980
1949,10.1093/gigascience/giz143,,1984
1953,10.1093/gigascience/giz146,,1981
1954,10.1093/gigascience/giz147,,1991
1962,10.1093/gigascience/giz155,,2005
1964,10.1093/gigascience/giz159,,2007
1966,10.1093/gigascience/giz152,,1996
1971,10.1093/gigascience/giaa003,,2004
1973,10.1093/gigascience/giaa001,,2021
1975,10.1093/gigascience/giaa007,,2018
1976,10.1093/gigascience/giaa008,,2024
1979,10.7554/eLife.52583 ,,2029
1980,10.1093/gigascience/giaa010,,2028
1981,10.1093/gigascience/giaa011,,2027
1982,10.1093/gigascience/giaa012,,2032
