id,species_id,name,consent_document,submitted_id,submission_date,sampling_protocol
17939,3021,mac1,,,,
17940,3247,mac2,,,,
17941,3021,mac3,,,,
17942,3247,mac4,,,,
17943,3021,mac5,,,,
17944,3247,mac6,,,,
17945,3021,mac7,,,,
17946,3247,mac8,,,,
17947,3021,mac9,,,,
17948,3247,mac10,,,,
17949,3021,mac11,,,,
17950,3247,mac12,,,,
21457,7,s1,,,,
21458,7,s2,,,,
21459,7,s3,,,,
21460,7,s4,,,,
21461,7,s5,,,,
21462,7,s6,,,,
21463,7,s7,,,,
21464,7,s8,,,,
21465,7,s9,,,,
21466,7,s10,,,,
21467,7,s11,,,,
21468,7,s12,,,,
21469,7,s13,,,,
21470,7,s14,,,,
21471,7,s15,,,,
21472,7,s16,,,,
21473,7,s17,,,,
21474,7,s18,,,,
21475,7,s19,,,,
21476,7,s20,,,,
21477,7,s21,,,,
21478,7,s22,,,,
21479,7,s23,,,,
21480,7,s24,,,,
21481,7,s25,,,,
21482,7,s26,,,,
21483,7,s27,,,,
21484,7,s28,,,,
21485,7,s29,,,,
21486,7,s30,,,,
21487,7,s31,,,,
21488,7,s32,,,,
21489,7,s33,,,,
21490,7,s34,,,,
21491,7,s35,,,,
21492,7,s36,,,,
21493,7,s37,,,,
21494,7,s38,,,,
21495,7,s39,,,,
21496,7,s40,,,,
21497,7,s41,,,,
21498,7,s42,,,,
21499,7,s43,,,,
21500,7,s44,,,,
21501,7,s45,,,,
21502,7,s46,,,,
21503,7,s47,,,,
21504,7,s48,,,,
21505,7,s49,,,,
21506,7,s50,,,,
21507,7,s51,,,,
21508,7,s52,,,,
21611,7,SD-B00001,,,,
21612,7,SD-B00006,,,,
21613,7,SD-B00007,,,,
21614,7,SD-B00011,,,,
21615,7,SD-B00012,,,,
21616,7,SD-B00013,,,,
21617,7,SD-B00014,,,,
21618,7,SD-B00015,,,,
21619,7,SD-B00017,,,,
21620,7,SD-B00020,,,,
21621,7,SD-B00023,,,,
21622,7,SD-B00025,,,,
21623,7,SD-B00029,,,,
21624,7,SD-B00030,,,,
21625,7,SD-B00032,,,,
21626,7,SD-B00033,,,,
21627,7,SD-B00034,,,,
21628,7,SD-B00036,,,,
21629,7,SD-B00038,,,,
21630,7,SD-B00040,,,,
21631,7,SD-B00041,,,,
21632,7,SD-B00043,,,,
21633,7,SD-B00044,,,,
