id,attribute_name,definition,model,structured_comment_name,value_syntax,allowed_units,occurance,ontology_link,note
1,age,"age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees",GSC_MIxS_v3,age,value,"UO:0000031,UO:0000032,UO:0000033,UO:0000034,UO:0000035,UO:0000036",1,"",""
2,history/agrochemical additions,"addition of fertilizers, pesticides, etc. - amount and time of applications",GSC_MIxS_v3,agrochem_addition,agrochemical name;agrochemical amount;timestamp,"",m,"",""
3,air temperature regimen,"information about treatment involving an exposure to varying temperatures; should include the temperature, treatment duration, interval and total experimental duration; can include different temperature regimens",GSC_MIxS_v3,air_temp_regm,temperature value;treatment duration;interval;experimental duration,"","","",""
4,extreme_unusual_properties/Al saturation,aluminum saturation (esp. for tropical soils),GSC_MIxS_v3,al_sat,measurement value,"","","",""
5,extreme_unusual_properties/Al saturation method,reference or method used in determining Al saturation,GSC_MIxS_v3,al_sat_meth,"PMID,DOI or URL","","","",""
6,alkalinity,"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate",GSC_MIxS_v3,alkalinity,measurement value,UO:0000169,"","",""
7,alkyl diethers,concentration of alkyl diethers ,GSC_MIxS_v3,alkyl_diethers,measurement value,"","","",""
8,altitude,The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.,GSC_MIxS_v3,alt,measurement value,"","","",""
9,aminopeptidase activity,measurement of aminopeptidase activity,GSC_MIxS_v3,aminopept_act,measurement value,"","","",""
10,ammonium,concentration of ammonium,GSC_MIxS_v3,ammonium,measurement value,"","","",concentrations
11,amniotic fluid/color,specification of the color of the amniotic fluid sample,GSC_MIxS_v3,amniotic_fluid_color,color,"","","",grams per liter
12,mean annual and seasonal precipitation,mean annual and seasonal precipitation (mm),GSC_MIxS_v3,annual_season_precpt,measurement value,"","","",mass per unit volume
13,mean annual and seasonal temperature,mean annual and seasonal temperature (oC),GSC_MIxS_v3,annual_season_temp,measurement value,"","","",mass percentage
14,antibiotic regimen,"information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment duration, interval and total experimental duration; can include multiple antibiotic regimens",GSC_MIxS_v3,antibiotic_regm,antibiotic name;antibiotic amount;treatment duration;interval;experimental duration,"","","",mass per volume percentage
15,atmospheric data,measurement of atmospheric data; can include multiple data,GSC_MIxS_v3,atmospheric_data,atmospheric data name;measurement value,"","","",microgram per liter
16,bacterial carbon production,measurement of bacterial carbon production,GSC_MIxS_v3,bacteria_carb_prod,measurement value,"","","",microliter per liter
17,barometric pressure,force per unit area exerted against a surface by the weight of air above that surface,GSC_MIxS_v3,barometric_press,measurement value,"","","",microgram per deciliter
18,biochemical oxygen demand,a measure of the relative oxygen-depletion effect of a waste contaminant,GSC_MIxS_v3,biochem_oxygen_dem,measurement value,"","","",microgram per kilogram
19,biomass,"amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements",GSC_MIxS_v3,biomass,biomass type;measurement value,"","","",microgram per liter
20,birth control,specification of birth control medication used,GSC_MIxS_v3,birth_control,medication name,"","","",nanogram per liter
21,bishomohopanol,concentration of bishomohopanol ,GSC_MIxS_v3,bishomohopanol,measurement value,"","","",nanogram per microliter
22,blood/blood disorder,history of blood disorders; can include multiple disorders,GSC_MIxS_v3,blood_blood_disord,disorder name,"","","",picogram per mililiter
23,blood pressure diastolic,"resting diastolic blood pressure, measured as mm mercury",GSC_MIxS_v3,blood_press_diast,measurement value,"","","",""
24,blood pressure systolic,"resting systolic blood pressure, measured as mm mercury",GSC_MIxS_v3,blood_press_syst,measurement value,"","","",""
