id,surname,middle_name,first_name,orcid,gigadb_user_id,custom_name
4,Potato Genome Sequencing Consortium,"","",,,
8,Zhang,"",Bo,0000-0001-8890-8416,,
14,Wang,"",J,,,
15,Orjeda,"",Gisella,,,
16,Guzman,"",Frank,,,
17,Torres,"",Michael,,,
18,Lozano,"",Roberto,,,
19,Poe,Allan,Edgar,"",,
20,Martinez,"",Diana,,,
21,De La Cruz,"",German,,,
22,Chakrabarti,K,S,,,
23,Patil,U,Virupaksh,,,
24,Skryabin,G,Konstantin,,,
25,Kuznetsov,B,Boris,,,
26,Ravin,V,Nikolai,,,
27,Kolganova,V,Tatjana,,,
28,Beletsky,V,Alexey,,,
29,Mardanov,V,Andrei,,,
30,Di Genova,"",Alex,,,
31,Bolser,M,Daniel,,,
32,Martin,MA,David,,,
34,Yang,"",Yu,,,
37,Xiong,"",Xingyao,,,
38,Bishop,J,Gerard,,,
39,Sagredo,"",Boris,,,
40,Mejia,"",Nilo,,,
41,Zagorski,"",Wlodzimierz,,,
42,Gromadka,"",Robert,,,
43,Gawor,"",Jan,,,
44,Szczesny,"",Pawel,,,
47,Liang,"",Chunbo,,,
50,He,"",Ying,,,
51,Xu,"",Jianfei,,,
52,Zhang,"",Youjun,,,
53,Xie,"",Binyan,,,
55,Qu,"",Dongyu,,,
56,Bonierbale,"",Merideth,,,
57,Ghislain,"",Marc,,,
58,del Rosario Herrera,"",Maria,,,
59,Giuliano,"",Giovanni,,,
60,Pietrella,"",Marco,,,
61,Perrotta,"",Gaetano,,,
62,Facella,"",Paolo,,,
63,O’Brien,"",Kimberly,,,
64,Feingold,E,Sergio,,,
65,Barreiro,E,Leandro,,,
66,Massa,A,Gabriela,,,
67,Diambra,"",Luis,,,
68,Whitty,R,Brett,,,
69,Vaillancourt,"",Brieanne,,,
70,Lin,"",Haining,,,
71,Massa,N,Alicia,,,
72,Geoffroy,"",Michael,,,
73,Lundback,"",Steven,,,
74,DellaPenna,"",Dean,,,
75,Buell,"",C.Robin,,,
76,Sharma,Kumar,Sanjeev,,,
77,Marshall,F,David,,,
78,Waugh,"",Robbie,,,
79,Bryan,J,Glenn,,,
80,Destefanis,"",Marialaura,,,
81,Nagy,"",Istvan,,,
82,Milbourne,"",Dan,,,
83,Thomson,J,Susan,,,
84,Fiers,"",Mark,,,
85,Jacobs,M,Jeanne,,,
86,Nielsen,L,Kare,,,
87,Sonderkar,"",Mads,,,
88,Iovene,"",Marina,,,
89,Torres,A,Giovana,,,
90,Jiang,"",Jiming,,,
91,Veilleux,E,Richard,,,
92,Bachem,WB,Christian,,,
93,de Boer,"",Jan,,,
94,Borm,"",Theo,,,
95,Kloosterman,"",Bjorn,,,
96,van Eck,"",Herman,,,
97,Datema,"",Erwin,,,
98,Hekkert,te Lintel,Bas,,,
99,Goverse,"",Aska,,,
100,van Ham,CHJ,Roeland,,,
101,Visser,GF,Richard,,,
147,Oleksyk,K,Taras,0000-0002-8148-3918,,
148,Guiblet,"",Wilfried,,,
149,Pombert,Francois,Jean,,,
150,Valentin,"",Ricardo,,,
151,Martinez-Cruzado,Carlos,Juan,,,
216,Ge,"",Ri-Li,,,
218,Shen,"",Yong-Yi,,,
220,Ma,"",Lan,,,
223,Chen,"",Yanxiang,,,
224,Yang,"",Lingfeng,,,
227,Ou,"",Xiaohua,,,
229,Zhang,"",Yongfen,,,
234,Zhang,"",Ya-Ping,,,
623,Nygaard,"",Sanne,,,
624,"Schiøtt, ","",Morten,,,
626,Wurm,"",Yannick,,,
628,Zhou,"",Jiajian,,,
629,Ji,"",Lu,,,
630,Qiu,"",Feng,,,
632,Pan,"",Hailin,,,
633,Hauser,"",Frank,,,
635,Grimmelikhuijzen,JP,Cornelis,,,
639,Luo,"",R,,,
651,Quan,"",Zhiwu,,,
659,Zhao,"",Zhihai,,,
978,Jiang,"",Tao,,,
1184,Xie,"",Y,,,
1189,Yu,"",C,,,
1205,Liu,"",B,,,
1208,Xie,"",Yinlong,,,
1210,Huang,"",Weihua,,,
1212,He,"",Guangzhu,,,
1213,Pan,"",Qi,,,
1214,Liu,"",Yunjie,,,
1215,Tang,"",Jingbo,,,
1216,Wu,"",Gengxiong,,,
1219,Liu,"",Yong,,,
1224,Cheung,"",David,,,
1226,Liu,"",Guangming,,,
1228,Peng,"",Shaoliang,,,
1230,Lam,W,Tak-Wah,,,
1613,Bedoya-Reina,C,Oscar,,,
1614,Ratan,"",Aakrosh,,,
1615,Burhans,"",Richard,,,
1616,Kim,Lim,Kie,,,
1617,Giardine,"",Belinda,,,
1618,Riemer,"",Cathy,,,
1619,Li,"",Qunhua,,,
1620,Olson,L,Thomas,,,
1621,Loughran,P Jr,Thomas,,,
1622,vonHoldt,M,Bridgett,,,
1623,Perry,H,George,,,
1624,Schuster,C,Stephan,,,
1625,Miller,"",Webb,,,
1651,Huang,"",Yinhua,,,
1653,Burt,W,David,,,
1654,Chen,"",Hualan,,,
1657,Kim,"",Heebal,,,
1658,Gan,"",Shangquan,,,
1659,Zhao,"",Yiqiang,,,
1661,Yi,"",Kang,,,
1662,Feng,"",Huapeng,,,
1663,Zhu,"",Pengyang,,,
1665,Liu,"",Qiuyue,,,
1666,Fairley,"",Suan,,,
1667,Magor,E,Katharine,,,
1668,Du,"",Zhenlin,,,
1669,Hu,"",Xiaoxiang,,,
1671,Tafer,"",Hakim,,,
1672,Vignal,"",Alain,,,
1673,Lee,"",Taeheon,,,
1674,Kim,"",Kyu-Won,,,
1675,Sheng,"",Zheya,,,
1676,An,"",Yang,,,
1679,Groenen,AM,Martien,,,
1680,Crooijmans,PMA,Richard,,,
1683,Webster,G,Robert,,,
1684,Aldridge,R,Jerry,0000-0002-9653-1775,,
1685,Warren,C,Wesley,,,
1686,Bartschat,"",Sebastian,,,
1687,Kehr,"",Stephanie,,,
1688,Marz,"",Manja,,,
1689,Stadler,F,Peter,,,
1690,Smith,"",Jacqueline,,,
1691,Kraus,HS,Robert,,,
1692,Zhao,"",Yaofeng,,,
1693,Ren,"",Liming,,,
1694,Fei,"",Jing,,,
