id,dataset_id,attribute_id,value,units_id,image_id,until_date
26,205,455,Galaxy,,,
27,205,455,workflows,,,
28,205,455,reproducible,,,
29,205,455,education,,,
30,205,455,ISA-Tab,,,
136,237,455,optical mapping,,,
137,237,455,genomic mapping,,,
138,237,455,glocal alignment,,,
139,237,455,"overlap
alignment",,,
140,237,455,map-to-sequence alignment,,,
199,254,455,scabies mite genome,,,
208,256,455,transcriptome,,,
209,256,455,flatworm,,,
210,256,455,host-parasite,,,
211,256,455,stickleback,,,
212,256,455,RNA-seq,,,
219,261,455,AGOUTI,,,
220,261,455,assembly,,,
221,261,455,Genome,,,
222,261,455,RNA-Seq,,,
223,261,455,Exome,,,
232,264,455,nanopore sequencing,,,
233,264,455,rolling circle amplification,,,
234,264,455,consensus,,,
235,264,455,long and accurate reads,,,
299,304,455,Zika virus,,,
300,304,455,epidemic,,,
301,304,455,timescales,,,
302,304,455,Climate change,,,
303,304,455,inter-annual,,,
304,304,455,El Niño,,,
305,304,455,drought,,,
306,304,455,vector control,,,
