id,dataset_id,funder_id,grant_award,comments,awardee
21,41,6169,JC201005260191A,"",
22,41,6168,CXB201108250096A,"",
23,41,1371,90612019,"",
24,41,6167,2012AA02A201,"",
25,41,6166,2011CB809203,"",
26,198,3743,1R01GM094423-01,,
27,203,3741,1147079,John M. Chilton and James E. Johnson,
28,204,6170,"","",
29,204,6171,"","",
30,204,1371,61202127,"",
31,204,4723,60911062,"",
32,215,3809,R01GM097528,,
33,215,3741,IIS1319551,,
34,215,3741,DBI1262189,,
35,215,3741,IOS1127027,"",
36,215,3741,DBI-0939454,Dukka B. KC,
37,215,6172,NRF-2011-220-C00004,"",
38,219,1326,NE/K011294/1,Mark Viant & Rob L Davidson,
39,219,1326,R8-H10-61,Mark Viant,
40,220,3745,DE-AC02-06CH1135,"",
41,224,3741,ABI-1159078,Liliana Florea,
42,224,3741,ABI-1356078,Liliana Florea,
43,226,6173,,,
44,226,3333,,,
45,226,3018,,,
46,226,6166,,,
47,229,6174,SF0180026s09,,
48,229,6174,IUT34-11,,
49,230,6175,Top Achiever Doctoral Scholarship,Joseph Cursons,
50,230,4371,CE140100036,Edmund J Crampin,
51,230,4432,C08X0801,Marc D Jacobs,
52,232,2341,CG-08-07,,
53,232,2341,CG-10-04,,
54,232,2341,CG-12-07,,
55,232,4373,APP1027527,,
56,232,6176,,,
57,232,6177,,,
58,233,6178,"","",
59,234,3559,BS/E/D/20310000,,
60,234,3559,BB/J004243/1,,
61,234,3559,BB/M020037/1,,
62,234,3598,R8/H10/56,,
63,234,3544,MR/K001744/1,,
64,239,653,Contract 613979,MyNewGut Project,
65,240,6179,project no. 12-373,Colin S Brent,
66,240,3741,OCI-1053575XSEDE,allocation TG-MCB140032 Scott M Geib,
67,241,653,FP7-PEOPLE-2013-IEF EVOGREN (625057),Pavlos Pavlidis,
68,243,2754,ANR-12-BS02-0008,"",
69,243,6180,267591,Leena Salmela,
70,243,655,[247073]10,Gustavo Sacomoto,
71,244,6181,2014AA093501,,
72,244,6182,2013B090800017,,
73,244,6183,CXB201108250095A,,
74,246,1373,Proc. 2014/13661–8,Fernado Carbayo,
75,248,6181,2014AA093501,"",
76,248,6182,2013B090800017,"",
77,248,6183,CXB201108250095A,"",
78,250,3174,WT090532/Z/09/Z,CONVERGE Project,
79,250,3174,WT083573/Z/07/Z,CONVERGE Project,
80,250,3174,WT089269/Z/09/Z,CONVERGE Project,
81,250,3174,WT097307,Warren W. Kretzschmar,
82,250,3743,MH-100549,CONVERGE Project,
83,250,3743,T32 grant MH020030,Roseann E. Peterson,
84,250,655,Consolidator Grant 617306,Jonathan Marchini,
85,250,6,AGS(0),Na Cai,
86,252,3741,DBI-1156528,Kyle Long,
87,256,5602,equipe,Nadia Aubin-Horth,
88,256,5602,equipe,Christian Landry,
89,256,1338,Discovery,Nadia Aubin-Horth,
90,256,1338,VANIER,Francois Olivier Hebert,
91,257,6184,"",Toni Gabaldon,
92,259,6185,"",This is a cooperative investigation between USDA ARS the University of Arizona and DuPont-Pioneer,
93,259,3737,DuPont-Pioneer agreement #58-3K95-4-1666,Jeffrey A Fabrick,
94,259,3737,DuPont-Pioneer agreement #58-3K95-4-1666,Bruce E Tabashnik,
95,259,3737,DuPont-Pioneer agreement #58-3K95-4-1666,Yves Carriere,
96,261,3741,DEB-1249633,Matthew W Hahn,
97,263,6186,31572106,Qingmei Guan,
98,268,6187,NO.JCYJ20120618172523025,"",
99,269,3741,HRD-1137725,NSF Centers of Research Excellent in Science and Technology (CREST) award,
100,269,3743,P20GM103475,Institutional Development Award Networks of Biomedical Research Excellent (INBRE) grant,
101,269,3741,EPS 1002410EPS 1002410,The Experimental Program to Stimulate Competitive Research (EPSCoR) Track 1 program,
102,269,3741,EPS 1010094,EPSCoR Track 2 awards for computational nanoscience,
103,271,6188,2012BAD26B03,"",
104,271,6189,CX(15)1013,Fund for Independent Innovation of Agriculturale Science and Technology,
105,271,6189,2014-NY-008,"Project of Human Resources and Social Security of Jiangsu Province",
106,271,6189,Y2014-25,Three-Side Innovation Projects for Aquaculture in Jiangsu Province,
107,271,6189,Y2015-12,Three-Side Innovation Projects for Aquaculture in Jiangsu Province,
108,271,6190,JSGG20141020113728803,"",
109,272,3741,CAREER DBI-1148823,Anne E Carpenter,
110,273,1371,31271392,G Zhang,
111,273,1371,31501057,G Zhang,
112,273,6191,300837,"",
113,301,6192,"",Taylor Noble,
114,301,1338,"",Christopher J Lortie,
115,301,6193,"",Michael Westphal,
116,301,6194,"",H.Scott Butterfield,
117,302,3576,R01MH101555,R.Cameron Craddock,
118,305,2754,ANR-11-INBS-0001,"",
119,305,5801,RYC-2012-10970,Víctor Resco de Dios,
120,305,5801,RYC-2008-02050,Juan Pedro Ferrio,
121,305,5801,AGL2015-69151-R,Víctor Resco de Dios,
122,314,6195,PE14260,Sanghee Kim,
123,314,6195,PE16070,Hyun Park,
124,317,1371,91331102,Jianquan Liu,
125,317,6196,2014TD003,Jianquan Liu,
126,317,5783,2010DFA34610,Jianquan Liu,
127,318,1371,81403053,"",
128,318,1371,81503469,"",
129,319,6197,"","",
