id,dataset_id,sample_id
4,2,4
151,5,151
154,8,154
155,9,155
431,20,430
433,22,432
457,29,456
526,40,522
527,41,522
1927,80,1916
1928,81,1917
1929,81,1918
1930,81,1919
1959,110,1948
5396,237,5378
5397,237,5379
17505,254,17492
17506,254,17491
17507,254,17489
17508,254,17488
17509,254,17490
17510,254,17487
17512,256,17494
17513,256,17496
17514,256,17495
17515,256,17497
17516,256,17498
17517,256,17499
17518,256,17500
17519,256,17501
17520,256,17502
17521,256,17503
17522,256,17504
17523,256,17505
17524,256,17506
17525,256,17507
17526,256,17508
17541,261,17526
17542,261,17525
17543,261,17524
17544,261,17523
17545,261,17522
17550,264,17532
17551,264,17531
