id,dataset_id,type_id
1,1,1
2,2,2
3,3,3
4,4,2
5,4,4
6,5,2
7,6,2
8,7,2
9,8,2
10,9,2
11,10,2
12,11,2
13,12,2
14,13,2
15,13,4
16,14,2
17,14,4
18,15,2
19,16,2
20,17,2
21,18,2
22,19,2
23,20,2
24,21,2
26,23,1
27,24,2
28,25,2
29,26,2
30,27,2
31,28,2
32,29,2
33,30,2
34,31,2
35,32,2
36,33,2
37,34,2
38,34,1
39,35,2
40,36,2
41,37,2
42,38,1
43,39,4
44,22,1
45,40,2
46,41,5
47,41,6
48,42,2
49,43,6
50,44,2
51,45,2
56,52,4
58,53,2
59,53,4
60,53,3
61,54,7
64,55,10
65,56,2
67,57,2
68,58,2
69,59,2
70,60,2
71,60,4
72,60,6
73,61,10
74,62,3
75,62,10
76,63,2
77,64,2
78,64,4
79,65,3
81,52,10
82,69,2
83,69,4
84,69,7
85,70,3
86,71,2
87,72,2
88,73,2
89,74,6
90,75,1
91,76,2
92,77,5
93,77,6
94,78,2
95,79,2
96,80,2
97,81,2
98,82,2
99,83,2
100,84,2
101,85,2
102,86,2
103,87,2
104,88,2
105,89,2
106,90,2
107,91,2
108,92,2
109,93,2
110,94,2
111,95,2
112,96,2
113,97,2
114,98,2
115,99,2
116,100,2
117,101,2
118,102,2
119,103,2
120,104,2
121,105,2
122,106,2
123,107,2
124,108,2
125,109,2
126,110,2
127,111,2
128,112,2
129,113,2
130,114,2
131,115,2
132,116,2
133,117,2
134,118,2
135,119,2
136,120,2
137,121,2
138,122,2
139,123,2
140,124,2
141,125,2
142,126,2
143,127,2
144,128,2
145,129,2
146,130,2
147,131,2
148,132,2
150,135,5
151,135,11
152,136,12
153,137,2
157,141,7
160,142,2
161,138,2
162,143,2
163,144,6
164,146,13
165,147,2
166,148,8
167,149,6
168,150,2
169,151,2
170,152,1
171,152,1
172,153,7
173,154,2
174,155,4
175,156,2
176,157,2
177,157,1
178,158,7
179,158,6
180,159,6
181,160,2
182,161,6
183,158,14
184,162,7
185,163,15
186,164,2
187,165,2
188,166,2
189,167,4
190,167,4
195,152,1
196,171,6
197,172,2
198,126,13
199,128,13
200,151,1
201,151,4
202,149,5
203,173,3
204,170,2
205,92,13
206,60,13
211,171,5
212,171,14
213,177,2
219,181,2
220,182,4
221,183,7
222,184,6
223,185,7
224,182,2
225,186,2
226,187,7
227,188,3
228,189,2
232,192,4
233,191,2
234,193,10
235,195,2
236,196,4
237,197,2
238,198,7
239,199,6
240,200,16
242,202,3
243,203,6
244,204,5
245,204,6
246,204,1
247,205,6
248,205,5
249,206,7
250,206,17
252,208,3
253,208,4
254,208,5
255,209,6
256,209,5
257,210,2
258,211,4
259,212,6
260,212,2
261,213,2
262,213,6
263,214,10
264,214,6
265,208,14
266,215,10
267,215,6
268,216,2
269,217,2
271,219,8
272,219,6
273,219,5
274,219,14
275,220,12
276,220,6
277,220,3
278,221,2
279,222,10
280,223,4
281,223,5
282,223,10
283,224,6
284,224,4
285,225,2
286,226,6
287,227,14
288,227,5
289,228,2
290,228,13
291,228,6
292,229,6
293,230,7
294,231,4
295,232,6
296,232,1
297,233,4
298,233,1
299,234,2
300,218,2
301,235,2
302,236,13
303,236,6
304,237,13
306,238,2
307,239,3
308,240,4
309,241,6
310,241,2
311,242,2
312,243,6
313,244,2
314,245,2
315,246,7
316,247,3
317,248,4
318,249,2
319,250,13
320,251,1
321,252,2
322,253,11
323,254,2
324,255,6
325,256,4
326,257,2
327,258,6
328,259,4
329,260,6
330,261,6
331,261,4
332,261,2
333,262,6
334,262,2
335,263,2
336,264,2
337,265,6
338,265,2
339,267,2
340,267,4
341,268,2
342,268,13
343,269,4
344,270,2
345,271,2
346,272,7
347,273,6
348,274,2
349,275,2
350,276,11
351,276,7
352,277,2
353,278,11
354,278,7
355,279,11
356,279,7
357,280,11
358,280,7
359,281,11
360,281,7
361,282,11
362,282,7
363,283,11
364,283,7
365,284,11
366,284,7
367,285,11
368,285,7
369,286,11
370,286,7
371,287,11
372,287,7
373,288,11
374,288,7
375,289,11
376,289,7
377,290,11
378,290,7
379,291,11
380,291,7
381,292,11
382,292,7
383,293,11
384,293,7
385,294,11
386,294,7
387,295,11
388,295,7
389,296,11
390,296,7
391,297,11
392,297,7
393,298,11
394,298,7
395,299,11
396,299,7
397,300,11
398,300,7
399,301,7
400,302,7
401,303,2
402,304,18
403,305,19
404,306,2
405,307,6
406,308,16
407,310,7
409,312,16
410,284,6
411,313,7
412,314,2
413,314,4
414,315,3
415,316,2
416,317,2
417,318,2
418,318,13
419,319,4
