id,dataset_id,url,external_link_type_id,description
1,2,http://solanaceae.plantbiology.msu.edu/cgi-bin/gbrowse/pgsc-potato-dm/,2,
2,5,http://genomes.uprm.edu/parrot/,1,
3,5,http://genomes.uprm.edu/drupal/,1,
4,10,http://www.chogenome.org/,1,
5,13,http://macaque.genomics.org.cn/,2,
6,14,http://cucumber.genomics.org.cn,2,
7,15,http://climb.genomics.cn/Ecoli_TY-2482,1,
8,15,https://github.com/ehec-outbreak-crowdsourced/BGI-data-analysis/wiki/,1,
9,22,http://foxtailmillet.genomics.org.cn/,2,
10,23,http://projects.ensembl.org/heroic/,1,
11,23,http://www2.cancer.ucl.ac.uk/medicalgenomics/tdg_web/trackList.php,1,
12,23,http://www2.cancer.ucl.ac.uk/medicalgenomics/medusa/,1,
13,24,http://mr.genomics.org.cn,2,
14,25,http://panda.genomics.org.cn/,2,
16,29,http://macaque.genomics.org.cn/,2,
17,32,http://beta.schistodb.net/schisto.beta/,1,
18,33,http://www.livestockgenomics.csiro.au/sheep/oar2.0.php,1,
19,33,http://www.livestockgenomics.csiro.au/cgi-bin/gbrowse/oarv2.0/,2,
20,34,http://silkworm.swu.edu.cn/silkdb/resequencing.html,1,
21,37,http://yh.genomics.org.cn/,1,
22,37,http://yh.genomics.org.cn/mapview.jsp?,2,
23,40,http://yh.genomics.org.cn/,1,
24,40,http://yh.genomics.org.cn/mapview.jsp?,2,
25,41,http://soap.genomics.org.cn/,1,
26,41,http://soapdenovo2.sourceforge.net/,1,
27,41,http://galaxy.cbiit.cuhk.edu.hk/u/gigascience/g/rluo2012,1,
28,54,https://github.com/chrisfilo/2010-Reliability-Study,1,
29,60,http://aviangenomes.org,2,
30,74,http://qiime.org/emperor/index.html,1,
31,74,ftp://thebeast.colorado.edu/pub/emperor_files/,1,
32,77,http://galaxy.cbiit.cuhk.edu.hk/u/gigascience/g/obedoyareina2013,1,
33,80,http://asia.ensembl.org/Anas_platyrhynchos/Info/Index,2,
34,135,https://portal.carmen.org.uk,1,
35,144,https://github.com/ShashaankV/CS,1,
36,144,https://github.com/ShashaankV/GD,1,
37,161,http://gen-watch.org,1,
38,159,http://sourceforge.net/projects/mirnata/,1,
39,165,http://crocgenome.hpc.msstate.edu/gb2/gbrowse/croc/,2,
40,166,http://crocgenome.hpc.msstate.edu/gb2/gbrowse/gator/,2,
41,164,http://crocgenome.hpc.msstate.edu/gb2/gbrowse/ggan/,2,
42,171,http://viramp.com,1,
43,163,http://eegdatabase.kiv.zcu.cz/,1,
44,182,http://www.igbquickload.org/blueberry/,1,
45,183,http://www.cellimagelibrary.org/groups/45451,1,
46,184, https://www.cog-genomics.org/plink2/,1,
47,184,https://github.com/chrchang/plink-ng,1,
48,183,http://www.cellimagelibrary.org/groups/44501,1,
49,191,https://github.com/gigascience/paper-kilianski2015,1,
50,192,http://genomeannotation.github.io/,1,
51,193,http://moana.dnsalias.org/~sgeib/Bcur_RNAseq_Trinity/,1,
52,198,https://github.com/gigascience/paper-sonnenschein2015,1,
53,203,http://www.myexperiment.org/workflows/4584.html,1,
54,203,https://registry.hub.docker.com/u/bgruening/galaxy-blast/dockerfile/,1,
55,203,https://github.com/peterjc/galaxy_blast,1,
56,204,https://github.com/gaosjlucky/SMAPdigger,1,
57,205,http://isa-tools.github.io/soapdenovo2/,1,
58,208,https://registry.hub.docker.com/u/metagenomics/2015-biogas-cebitec/,1,
59,208,https://github.com/metagenomics/2015-biogas-cebitec,1,
60,209,http://bioinformatics.math.chalmers.se/tentacle/,1,
61,209,http://figshare.com/articles/Tentacle_quantification_accuracy_evaluation/1403609,1,
62,209,https://bitbucket.org/chalmersmathbioinformatics/tentacle,1,
63,211,http://genomeannotation.github.io/,1,
65,212,http://www.bcgsc.ca/bioinfo/software/links,1,
66,212,https://github.com/warrenlr/LINKS/,1,
67,214,https://zenodo.org/record/20553,1,
68,214,http://sourceforge.net/projects/strut/,1,
69,214,http://pyml.sourceforge.net/,1,
70,214,http://bionlp.sourceforge.net/nlp-pipelines/,1,
71,215,http://kiharalab.org/web/pfp.php,1,
72,215,http://kiharalab.org/web/esg.php,1,
73,215,http://pfam.xfam.org/,1,
74,215,http://bioinf.cs.ucl.ac.uk/psipred/?ffpred=1,1,
75,215,http://blast.ncbi.nlm.nih.gov/Blast.cgi?CMD=Web&PAGE=Proteins&PROGRAM=blastp&RUN_PSIBLAST=on,1,
76,215,http://toolkit.tuebingen.mpg.de/hhblits,1,
77,217,https://clinicaltrials.gov/show/NCT01251900,1,
78,213,https://github.com/gigascience/paper-ho2015,1,
79,219,https://github.com/Viant-Metabolomics/Galaxy-M,1,
80,219,https://github.com/Viant-Metabolomics/MI-Pack,1,
81,221,https://genomics.canberra.edu.au,2,
82,206,https://github.com/walterxie/eDNA-pipeline,1,
83,224,https://github.com/mourisl/Rcorrector/,1,
84,226,https://github.com/bioinformatics-centre/AsmVar,1,
86,227,http://github.com/mikel-egana-aranguren/SADI-Docker-Galaxy,1,
87,228,https://github.com/SciLifeLab/NouGAT/,1,
88,229,https://github.com/bioinfo-ut/GenomeTester4,1,
89,230,http://www.github.com/uomsystemsbiology/epidermal_data,1,
90,236,https://github.com/verznet/OPTIMA,1,
91,236,http://www.davideverzotto.it/research/OPTIMA/,1,
92,239,https://github.com/alfbenpa/16S_MinION,1,
93,243,https://colibread.inria.fr/,1,
94,243,https://github.com/genouest/tools-colibread,1,
