id,file_id,attribute_id,value,unit_id
1,13973,347,2013-7-15,
2,13976,347,2013-7-15,
5,90746,398,0,
6,90746,399,0,
7,90758,398,0,
8,90758,399,0,
9,91176,433,0.339,
10,91176,432,30929,
11,91176,431,06/21/2011,
12,91176,438,0.055,
13,91176,294,OpGen BamHI Protocol,
14,91176,439,2.502,
15,91176,441,1.734,
16,91176,440,5.979,
17,91176,442,6.943,
18,91176,436,106.063,
19,91176,430,13838LA,
20,91176,434,19.394,
21,91176,437,0.257,
22,91176,435,278.597,
23,91177,433,0.304,
24,91177,432,45111,
25,91177,431,06/21/2011,
26,91177,438,0.042,
27,91177,294,OpGen BamHI Protocol,
28,91177,439,1.962,
29,91177,441,1.938,
30,91177,440,3.944,
31,91177,442,7.192,
32,91177,436,109.766,
33,91177,430,13839LA,
34,91177,434,25.822,
35,91177,437,0.293,
36,91177,435,287.265,
37,91178,433,0.213,
38,91178,432,25606,
39,91178,431,06/21/2011,
40,91178,438,0.086,
41,91178,294,Copy of OpGen BamHI-20min Protocol,
42,91178,439,2.348,
43,91178,441,1.269,
44,91178,440,5.109,
45,91178,442,5.739,
46,91178,436,85.407,
47,91178,430,13840LA,
48,91178,434,23.193,
49,91178,437,0.182,
50,91178,435,257.974,
51,91179,433,0.264,
52,91179,432,20807,
53,91179,431,06/21/2011,
54,91179,438,0.078,
55,91179,294,Copy of OpGen BamHI-20min Protocol,
56,91179,439,2.37,
57,91179,441,1.449,
58,91179,440,5.332,
59,91179,442,4.767,
60,91179,436,77.318,
61,91179,430,13841LA,
62,91179,434,19.585,
63,91179,437,0.158,
64,91179,435,249.359,
65,91180,433,0.198,
66,91180,432,16828,
67,91180,431,06/21/2011,
68,91180,438,0.039,
69,91180,294,OpGen BamHI Protocol,
70,91180,439,1.722,
71,91180,441,1.362,
72,91180,440,2.663,
73,91180,442,3.733,
74,91180,436,92.075,
75,91180,430,13842LA,
76,91180,434,33.128,
77,91180,437,0.075,
78,91180,435,269.398,
79,91181,433,0.287,
80,91181,432,38239,
81,91181,431,08/15/2011,
82,91181,438,0.027,
83,91181,294,Copy of OpGen BamHI 20 min Protocol LA v2,
84,91181,439,1.91,
85,91181,441,3.2,
86,91181,440,3.853,
87,91181,442,5.712,
88,91181,436,83.709,
89,91181,430,13906LA,
90,91181,434,22.398,
91,91181,437,0.23,
92,91181,435,258.32,
93,91182,433,0.236,
94,91182,432,41152,
95,91182,431,08/15/2011,
96,91182,438,0.029,
97,91182,294,Copy of OpGen BamHI 20 min Protocol LA v2,
98,91182,439,1.598,
99,91182,441,3.485,
100,91182,440,2.607,
101,91182,442,6.203,
102,91182,436,76.928,
103,91182,430,13922LA-2,
104,91182,434,25.676,
105,91182,437,0.215,
106,91182,435,252.151,
107,91183,433,0.366,
108,91183,432,45225,
109,91183,431,08/05/2011,
110,91183,438,0.036,
111,91183,294,Copy of OpGen BamHI 20 min Protocol LA v2,
112,91183,439,2.171,
113,91183,441,3.386,
114,91183,440,5.269,
115,91183,442,6.861,
116,91183,436,87.383,
117,91183,430,13935LA,
118,91183,434,14.942,
119,91183,437,0.227,
120,91183,435,256.824,
121,91184,433,0.358,
122,91184,432,35477,
123,91184,431,08/05/2011,
124,91184,438,0.029,
125,91184,294,Copy of OpGen BamHI 20 min Protocol LA v2,
126,91184,439,1.905,
127,91184,441,3.476,
128,91184,440,4.306,
129,91184,442,5.404,
130,91184,436,86.266,
131,91184,430,13936LA,
132,91184,434,16.118,
133,91184,437,0.21,
134,91184,435,258.134,
135,91185,433,0.376,
136,91185,432,32208,
137,91185,431,08/03/2011,
138,91185,438,0.026,
139,91185,294,Copy of OpGen BamHI 20 min Protocol LA v2,
140,91185,439,2.45,
141,91185,441,3.483,
142,91185,440,6.007,
143,91185,442,5.411,
144,91185,436,97.402,
145,91185,430,13937LA-2,
146,91185,434,16.854,
147,91185,437,0.249,
148,91185,435,268.329,
149,91186,433,0.548,
150,91186,432,9101,
151,91186,431,08/02/2011,
152,91186,438,0.015,
153,91186,294,Copy of OpGen BamHI 20 min Protocol LA v2,
154,91186,439,4.006,
155,91186,441,5.315,
156,91186,440,12.181,
157,91186,442,4.562,
158,91186,436,98.599,
159,91186,430,13938LA-2,
160,91186,434,11.693,
161,91186,437,0.196,
162,91186,435,263.657,
163,91187,433,0.343,
164,91187,432,47542,
165,91187,431,08/11/2011,
166,91187,438,0.014,
167,91187,294,Copy of OpGen BamHI 20 min Protocol LA v2,
168,91187,439,1.719,
169,91187,441,6.854,
170,91187,440,3.401,
171,91187,442,7.143,
172,91187,436,83.46,
173,91187,430,14018LA,
174,91187,434,19.334,
175,91187,437,0.261,
176,91187,435,259.466,
177,91188,433,0.375,
178,91188,432,45645,
179,91188,431,08/11/2011,
180,91188,438,0.012,
181,91188,294,Copy of OpGen BamHI 20 min Protocol LA v2,
182,91188,439,2.049,
183,91188,441,7.717,
184,91188,440,4.508,
185,91188,442,6.953,
186,91188,436,80.45,
187,91188,430,14019LA,
188,91188,434,18.496,
189,91188,437,0.236,
190,91188,435,254.76,
191,91189,433,0.352,
192,91189,432,44482,
193,91189,431,08/11/2011,
194,91189,438,0.013,
195,91189,294,Copy of OpGen BamHI 20 min Protocol LA v2,
196,91189,439,1.917,
197,91189,441,7.633,
198,91189,440,4.073,
199,91189,442,6.922,
200,91189,436,80.074,
201,91189,430,14020LA,
202,91189,434,18.374,
203,91189,437,0.237,
204,91189,435,252.962,
205,91190,433,0.427,
206,91190,432,47445,
207,91190,431,08/11/2011,
208,91190,438,0.021,
209,91190,294,Copy of OpGen BamHI 20 min Protocol LA v2,
210,91190,439,2.219,
211,91190,441,4.55,
212,91190,440,5.487,
213,91190,442,7.886,
214,91190,436,84.555,
215,91190,430,14021LA,
216,91190,434,15.631,
217,91190,437,0.294,
218,91190,435,257.792,
219,91191,433,0.518,
220,91191,432,61715,
221,91191,431,09/15/2011,
222,91191,438,0.011,
223,91191,294,Copy of OpGen BamHI 20 min Protocol LA v2,
224,91191,439,2.908,
225,91191,441,7.173,
226,91191,440,8.232,
227,91191,442,5.978,
228,91191,436,85.023,
229,91191,430,14087LA,
230,91191,434,12.631,
231,91191,437,0.224,
232,91191,435,254.447,
233,91192,433,0.422,
234,91192,432,116300,
235,91192,431,09/15/2011,
236,91192,438,0.01,
237,91192,294,Copy of OpGen BamHI 20 min Protocol LA v2,
238,91192,439,2.689,
239,91192,441,11.738,
240,91192,440,6.844,
241,91192,442,11.725,
242,91192,436,91.962,
243,91192,430,14088LA,
244,91192,434,15.384,
245,91192,437,0.305,
246,91192,435,261.08,
247,91193,433,0.501,
248,91193,432,52346,
249,91193,431,09/15/2011,
250,91193,438,0.007,
251,91193,294,Copy of OpGen BamHI 20 min Protocol LA v2,
252,91193,439,4.198,
253,91193,441,12.923,
254,91193,440,11.981,
255,91193,442,5.533,
256,91193,436,66.925,
257,91193,430,14089LA,
258,91193,434,11.622,
259,91193,437,0.116,
260,91193,435,229.127,
261,91194,433,0.498,
262,91194,432,49554,
263,91194,431,09/15/2011,
264,91194,438,0.008,
265,91194,294,Copy of OpGen BamHI 20 min Protocol LA v2,
266,91194,439,2.84,
267,91194,441,10.206,
268,91194,440,7.938,
269,91194,442,5.444,
270,91194,436,76.397,
271,91194,430,14090LA,
272,91194,434,11.59,
273,91194,437,0.183,
274,91194,435,243.521,
275,92999,398,0,
276,92999,399,0,
277,93126,401,0,
278,93126,400,0,
279,93127,401,0,
280,93127,400,0,
281,93128,401,0,
282,93128,400,0,
283,93129,401,0,
284,93129,400,0,
285,93757,401,0,
286,93757,400,0,
295,93763,402,122,
296,93763,403,2,
304,93771,466,441,
305,93771,271,2015-04-02/2015-04-02,
306,93771,467,3,
307,93771,468,shrub,
308,93771,469,facing north away from shrub,
309,93771,470,7,
310,93771,471,primos,
311,93771,472,"photo, 1 photo burst,3 second delay before next  picture",
312,93771,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
313,93771,269,"35.197505, -119.71552",
314,93771,325,"camera date not set correctly before deployment, please ignore timestamp on images",
315,93772,466,6,
316,93772,271,2015-04-02/2015-04-02,
317,93772,467,3,
318,93772,468,open,
319,93772,469,facing north away from shrub,
320,93772,470,7,
321,93772,471,primos,
322,93772,472,"photo, 1 photo burst,3 second delay before next  picture",
323,93772,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
324,93772,269,"35.197505, -119.71552",
325,93772,325,"",
326,93773,466,1292,
327,93773,271,2015-06-04/2015-06-06,
328,93773,467,1,
329,93773,468,shrub,
330,93773,469,facing north away from shrub,
331,93773,470,12,
332,93773,471,primos,
333,93773,472,"photo, 1 photo burst,3 second delay before next  picture",
334,93773,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
335,93773,269,"35.197505, -119.71552",
336,93773,325,"",
337,93774,466,4,
338,93774,271,2015-06-04/2015-06-06,
339,93774,467,1,
340,93774,468,open,
341,93774,469,facing north away from shrub,
342,93774,470,11,
343,93774,471,primos,
344,93774,472,"photo, 1 photo burst,3 second delay before next  picture",
345,93774,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
346,93774,269,"35.197505, -119.71552",
347,93774,325,"",
348,93775,466,11,
349,93775,271,2015-06-20/2015-06-25,
350,93775,467,1,
351,93775,468,shrub,
352,93775,469,facing north away from shrub,
353,93775,470,r1,
354,93775,471,reconyx,
355,93775,472,"photo, 1 photo burst,3 second delay before next  picture",
356,93775,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
357,93775,269,"35.197505, -119.71552",
358,93775,325,"",
359,93776,466,53,
360,93776,271,2015-06-20/2015-06-25,
361,93776,467,1,
362,93776,468,open,
363,93776,469,facing north away from shrub,
364,93776,470,r1,
365,93776,471,reconyx,
366,93776,472,"photo, 1 photo burst,3 second delay before next  picture",
367,93776,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
368,93776,269,"35.197505, -119.71552",
369,93776,325,"",
370,93777,466,15,
371,93777,271,2015-04-02/2015-04-02,
372,93777,467,1,
373,93777,468,open,
374,93777,469,facing north away from shrub,
375,93777,470,1,
376,93777,471,primos,
377,93777,472,"photo, 1 photo burst,3 second delay before next  picture",
378,93777,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
379,93777,269,"35.197505, -119.71552",
380,93777,325,"",
381,93778,466,57,
382,93778,271,2015-04-02/2015-04-02,
383,93778,467,2,
384,93778,468,shrub,
385,93778,469,facing north away from shrub,
386,93778,470,3,
387,93778,471,primos,
388,93778,472,"photo, 1 photo burst,3 second delay before next  picture",
389,93778,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
390,93778,269,"35.197505, -119.71552",
391,93778,325,"",
392,93779,466,81,
393,93779,271,2015-04-02/2015-04-02,
394,93779,467,2,
395,93779,468,open,
396,93779,469,facing north away from shrub,
397,93779,470,9,
398,93779,471,primos,
399,93779,472,"photo, 1 photo burst,3 second delay before next  picture",
400,93779,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
401,93779,269,"35.197505, -119.71552",
402,93779,325,"",
403,93780,466,471,
404,93780,271,2015-04-02/2015-04-02,
405,93780,467,3,
406,93780,468,open,
407,93780,469,facing north away from shrub,
408,93780,470,4,
409,93780,471,primos,
410,93780,472,"photo, 1 photo burst,3 second delay before next  picture",
411,93780,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
412,93780,269,"35.197505, -119.71552",
413,93780,325,"camera date not set correctly before deployment, please ignore timestamp on images",
414,93781,466,15,
415,93781,271,2015-04-02/2015-04-02,
416,93781,467,6,
417,93781,468,open,
418,93781,469,facing north away from shrub,
419,93781,470,5,
420,93781,471,primos,
421,93781,472,"photo, 1 photo burst,3 second delay before next  picture",
422,93781,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
423,93781,269,"35.197505, -119.71552",
424,93781,325,"",
425,93782,466,261,
426,93782,271,2015-04-03/2015-04-03,
427,93782,467,2,
428,93782,468,shrub,
429,93782,469,facing north away from shrub,
430,93782,470,2,
431,93782,471,primos,
432,93782,472,"photo, 1 photo burst,3 second delay before next  picture",
433,93782,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
434,93782,269,"35.197505, -119.71552",
435,93782,325,"",
436,93783,466,267,
437,93783,271,2015-04-03/2015-04-03,
438,93783,467,2,
439,93783,468,open,
440,93783,469,facing north away from shrub,
441,93783,470,8,
442,93783,471,primos,
443,93783,472,"photo, 1 photo burst,3 second delay before next  picture",
444,93783,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
445,93783,269,"35.197505, -119.71552",
446,93783,325,"",
447,93784,466,669,
448,93784,271,2015-04-03/2015-04-03,
449,93784,467,3,
450,93784,468,open,
451,93784,469,facing north away from shrub,
452,93784,470,1,
453,93784,471,primos,
454,93784,472,"photo, 1 photo burst,3 second delay before next  picture",
455,93784,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
456,93784,269,"35.197505, -119.71552",
457,93784,325,"",
458,93785,466,525,
459,93785,271,2015-04-03/2015-04-03,
460,93785,467,3,
461,93785,468,shrub,
462,93785,469,facing north away from shrub,
463,93785,470,4,
464,93785,471,primos,
465,93785,472,"photo, 1 photo burst,3 second delay before next  picture",
466,93785,270,"Elkhorn Plains, Carrizo Plains National Monument, San Lois Obispo County, CA",
467,93785,269,"35.197505, -119.71552",
468,93785,325,"",
469,93786,466,2553,
