id,sample_id,file_id
26,4,29
27,4,30
28,4,31
29,4,32
30,4,33
31,4,34
32,4,35
33,4,36
34,4,37
35,4,38
36,4,39
37,4,40
38,4,41
39,4,42
40,4,43
41,4,44
387,151,447
388,151,448
389,151,449
390,151,450
391,151,451
392,151,452
393,151,453
394,151,454
395,151,455
396,151,456
397,151,457
398,151,458
399,151,459
400,151,460
401,151,461
402,151,462
403,151,463
404,151,464
405,151,465
406,151,466
407,151,467
408,151,468
409,151,469
601,154,664
602,155,667
603,155,668
604,155,669
605,155,670
606,155,671
607,155,672
608,155,673
609,155,674
610,155,675
611,155,676
612,155,677
613,155,678
614,155,679
615,155,680
616,155,681
617,155,682
618,155,683
619,155,684
620,155,685
621,155,686
622,155,689
623,155,690
624,155,693
625,155,694
626,155,697
627,155,698
628,155,701
629,155,702
630,155,705
631,155,706
632,155,709
633,155,710
634,155,713
635,155,714
636,155,717
637,155,718
638,155,721
639,155,722
640,155,725
641,155,726
642,155,729
643,155,730
644,155,733
645,155,734
646,155,737
647,155,738
648,155,741
649,155,742
650,155,745
651,155,746
652,155,749
653,155,750
654,155,753
655,155,754
656,155,757
657,155,758
658,155,761
659,155,762
660,155,765
661,155,766
662,155,769
663,155,770
664,155,773
665,155,774
666,155,777
667,155,778
668,155,781
669,155,782
670,155,785
671,155,786
672,155,789
673,155,790
674,155,793
675,155,794
676,155,797
677,155,798
678,155,801
679,155,802
680,155,805
681,155,806
682,155,809
683,155,810
684,155,813
685,155,814
686,155,817
687,155,818
688,155,821
689,155,822
690,155,825
691,155,826
692,155,829
693,155,830
694,155,833
695,155,834
696,155,837
697,155,838
698,155,841
699,155,842
700,155,845
701,155,846
702,155,849
703,155,850
704,155,853
705,155,854
706,155,857
707,155,858
708,155,859
709,155,860
710,155,861
711,155,862
712,155,863
713,155,864
714,155,865
715,155,866
716,155,867
717,155,868
718,155,869
719,155,870
720,155,873
721,155,874
722,155,877
723,155,878
724,155,881
725,155,882
726,155,885
727,155,886
728,155,889
729,155,890
730,155,893
731,155,894
732,155,897
733,155,898
734,155,901
735,155,902
736,155,905
737,155,906
738,155,909
739,155,910
740,155,913
741,155,914
742,155,917
743,155,918
744,155,921
745,155,922
746,155,925
747,155,926
748,155,929
749,155,930
750,155,933
751,155,934
752,155,937
753,155,938
754,155,941
755,155,942
756,155,945
757,155,946
758,155,949
759,155,950
760,155,953
761,155,954
762,155,957
763,155,958
764,155,961
765,155,962
766,155,965
767,155,966
768,155,969
769,155,970
770,155,973
771,155,974
772,155,977
773,155,978
774,155,981
775,155,982
776,155,985
777,155,986
778,155,989
779,155,990
780,155,993
781,155,994
782,155,997
783,155,998
784,155,1001
785,155,1002
786,155,1005
787,155,1006
788,155,1009
789,155,1010
790,155,1013
791,155,1014
792,155,1017
793,155,1018
794,155,1021
795,155,1022
796,155,1025
797,155,1026
798,155,1029
799,155,1030
800,155,1033
801,155,1034
802,155,1037
803,155,1038
804,155,1041
805,155,1042
806,155,1045
807,155,1046
808,155,1049
809,155,1050
810,155,1053
811,155,1054
812,155,1057
813,155,1058
814,155,1061
815,155,1062
816,155,1065
817,155,1066
818,155,1069
819,155,1070
820,155,1073
821,155,1074
822,155,1077
823,155,1078
824,155,1081
825,155,1082
826,155,1085
827,155,1086
828,155,1089
829,155,1090
830,155,1093
831,155,1094
832,155,1097
833,155,1098
834,155,1101
835,155,1102
836,155,1105
837,155,1106
838,155,1108
839,155,1110
840,155,1111
841,155,1112
842,155,1114
843,155,1116
844,155,1117
845,155,1118
846,155,1121
847,155,1122
848,155,1125
849,155,1126
850,155,1129
851,155,1130
4523,430,4816
4524,430,4817
4525,430,4818
4526,430,4819
4527,430,4820
4528,155,4821
4593,432,5102
4594,432,5103
4595,432,5104
4596,432,5105
4597,432,5106
4598,432,5107
4599,432,5108
5685,456,6199
5686,456,6200
5687,456,6201
5688,456,6202
5689,456,6203
5690,456,6204
5691,456,6205
5692,456,6206
5693,456,6207
5694,456,6208
11673,522,12284
11674,522,12285
11675,522,12286
11677,522,12288
11678,522,12289
11679,522,12290
11680,522,12291
11681,522,12292
11682,522,12293
11683,522,12294
11684,522,12295
11685,522,12296
11686,522,12297
11687,522,12298
11688,522,12299
11689,522,12305
15369,1916,16847
15370,1916,16848
15371,1916,16849
15372,1916,16850
15373,1917,16874
15374,1917,16875
15375,1917,16876
15376,1917,16877
15377,1917,16878
15378,1918,16879
15379,1918,16880
15380,1918,16881
15381,1918,16882
15382,1918,16883
15383,1919,16884
15384,1919,16885
15385,1919,16886
15386,1919,16887
15387,1919,16888
15528,1948,17029
15529,1948,17030
15530,1948,17031
15531,1948,17032
15532,1948,17033
15745,154,17677
15746,154,17678
15747,154,17679
15748,154,17680
15749,154,17681
18890,1916,87485
23920,5378,92318
23921,5378,92319
23922,5378,92320
23923,5378,92321
23924,5379,92322
23925,5379,92323
23926,5379,92324
23927,5379,92325
23928,5379,92326
23929,5379,92327
24461,17503,93019
24462,17504,93020
24463,17505,93021
24464,17494,93022
24465,17506,93023
24466,17507,93024
24467,17508,93025
24468,17499,93026
24469,17500,93027
24470,17501,93028
24471,17502,93029
24472,17495,93030
24473,17496,93031
24474,17497,93032
24476,17487,93126
24477,17488,93127
24478,17489,93128
24479,17490,93129
24487,17491,92970
