id,uri,primary_name_display,country
1,http://dx.doi.org/10.13039/100005220,Agency for Toxic Substances and Disease Registry,""
2,http://dx.doi.org/10.13039/100005232,Maddie's Fund,""
4,http://dx.doi.org/10.13039/100004161,Stennis Foundation,""
5,http://dx.doi.org/10.13039/501100001337,Claude Leon Foundation,""
6,http://dx.doi.org/10.13039/501100001348,"Agency for Science, Technology and Research",""
7,http://dx.doi.org/10.13039/501100001355,Singapore Institute for Clinical Sciences,""
8,http://dx.doi.org/10.13039/501100001357,National Arts Council - Singapore,""
9,http://dx.doi.org/10.13039/501100000891,Directorate-General for Health and Consumers,""
10,http://dx.doi.org/10.13039/100004958,Minnesota Department of Labor and Industry,""
11,http://dx.doi.org/10.13039/100004951,Michigan State Housing Development Authority,""
12,http://dx.doi.org/10.13039/501100001312,University of Brighton,""
13,http://dx.doi.org/10.13039/501100001303,College of Emergency Medicine,""
14,http://dx.doi.org/10.13039/501100001321,National Research Foundation,""
15,http://dx.doi.org/10.13039/501100001314,Durham University,""
16,http://dx.doi.org/10.13039/501100001319,University of Westminster,""
17,http://dx.doi.org/10.13039/100001774,New Jersey Health Foundation,""
18,http://dx.doi.org/10.13039/100003918,Kiwanis Rockford,""
19,http://dx.doi.org/10.13039/501100000847,Met Office,""
20,http://dx.doi.org/10.13039/501100000861,Sparks,""
21,http://dx.doi.org/10.13039/501100000869,Health and Safety Executive,""
22,http://dx.doi.org/10.13039/501100000883,University of Bristol,""
23,http://dx.doi.org/10.13039/501100000812,European Central Bank,""
24,http://dx.doi.org/10.13039/501100000825,Institute of Biomedical Science,""
25,http://dx.doi.org/10.13039/100003969,Minnesota Research Fund,""
26,http://dx.doi.org/10.13039/501100000838,University Of Sussex,""
27,http://dx.doi.org/10.13039/501100001289,London Deanery,""
28,http://dx.doi.org/10.13039/501100001299,"School of Pharmacy, University of London",""
29,http://dx.doi.org/10.13039/100004067,"Public Life Foundation of Owensboro, Inc.",""
30,http://dx.doi.org/10.13039/501100001278,English Heritage,""
31,http://dx.doi.org/10.13039/501100001275,Coeliac UK,""
32,http://dx.doi.org/10.13039/100004913,Texas AgriLife Research,""
33,http://dx.doi.org/10.13039/501100001326,Winter Cereal Trust,""
34,http://dx.doi.org/10.13039/100001718,Steven and Michele Kirsch Foundation,""
35,http://dx.doi.org/10.13039/100005262,National Center for Health Statistics,""
36,http://dx.doi.org/10.13039/100005274,MacDowell Colony,""
37,http://dx.doi.org/10.13039/100005276,American Academy of Arts and Sciences,""
38,http://dx.doi.org/10.13039/100004127,The Simpson Fund,""
39,http://dx.doi.org/10.13039/100001748,R.J. McElroy Trust,""
40,http://dx.doi.org/10.13039/100001758,Minnesota Lions Eye Bank,""
41,http://dx.doi.org/10.13039/100002851,Equipment Leasing and Finance Foundation,""
42,http://dx.doi.org/10.13039/100001725,Living Stones Foundation,""
43,http://dx.doi.org/10.13039/100001738,Be The Match Foundation,""
44,http://dx.doi.org/10.13039/100002824,H.W. Durham Foundation,""
45,http://dx.doi.org/10.13039/100002814,The Dougherty Foundation,""
46,http://dx.doi.org/10.13039/100003886,International Franchise Association Educational Foundation,""
47,http://dx.doi.org/10.13039/100002745,Cohoes Savings Foundation,""
48,http://dx.doi.org/10.13039/100002732,Chrest Foundation,""
49,http://dx.doi.org/10.13039/100002736,Citizens United for Research in Epilepsy,""
50,http://dx.doi.org/10.13039/501100000003,ArcticNet,""
51,http://dx.doi.org/10.13039/100002716,Caring for Carcinoid Foundation,""
52,http://dx.doi.org/10.13039/100001652,GRAMMY Foundation,""
53,http://dx.doi.org/10.13039/100001663,Phil Hardin Foundation,""
54,http://dx.doi.org/10.13039/100001688,Houston Foundation,""
55,http://dx.doi.org/10.13039/501100000041,Fisheries and Oceans Canada,""
56,http://dx.doi.org/10.13039/100001696,IRVINE HEALTH FOUNDATION,""
57,http://dx.doi.org/10.13039/100006201,Office of Program and Site Support,""
58,http://dx.doi.org/10.13039/501100001251,Carclew Youth Arts,""
59,http://dx.doi.org/10.13039/501100001225,National Museum of Australia,""
60,http://dx.doi.org/10.13039/501100000774,Newcastle University,""
61,http://dx.doi.org/10.13039/501100001237,Smart Water Fund,""
62,http://dx.doi.org/10.13039/501100001250,Transport Accident Commission,""
63,http://dx.doi.org/10.13039/501100001222,Menzies Foundation,""
64,http://dx.doi.org/10.13039/501100001228,Parliament of Australia,""
65,http://dx.doi.org/10.13039/501100001214,Innovation Skills Fund,""
66,http://dx.doi.org/10.13039/501100001208,Heart Research Institute,""
67,http://dx.doi.org/10.13039/100005182,Cook County,""
68,http://dx.doi.org/10.13039/100005129,Georgia-Pacific,""
69,http://dx.doi.org/10.13039/100005120,Discovery Communications,""
70,http://dx.doi.org/10.13039/100005159,Porticus North America Foundation,""
71,http://dx.doi.org/10.13039/100003896,Henry M. Jackson Foundation,""
72,http://dx.doi.org/10.13039/100001610,Falk Foundation,""
73,http://dx.doi.org/10.13039/100004722,Nippon Steel Arts Foundation,""
74,http://dx.doi.org/10.13039/501100001851,Ministry of Earth Sciences,""
75,http://dx.doi.org/10.13039/501100001845,"Science for Equity, Empowerment and Development  Division",""
76,http://dx.doi.org/10.13039/100004719,"LifeScan, Inc.",""
77,http://dx.doi.org/10.13039/100004713,John Deere,""
78,http://dx.doi.org/10.13039/501100000672,Pathological Society of Great Britain and Ireland,""
79,http://dx.doi.org/10.13039/501100001840,Icelandic Centre for Research,""
80,http://dx.doi.org/10.13039/501100000668,National Archives,""
81,http://dx.doi.org/10.13039/501100000762,Imperial College Healthcare NHS Trust,""
82,http://dx.doi.org/10.13039/501100000720,Stapledon Memorial Trust,""
83,http://dx.doi.org/10.13039/501100000013,Canadian Bar Association,""
84,http://dx.doi.org/10.13039/501100000088,Ernest C. Manning Awards Foundation,""
85,http://dx.doi.org/10.13039/501100000703,Action on Hearing Loss,""
86,http://dx.doi.org/10.13039/501100000075,Engineers Canada,""
87,http://dx.doi.org/10.13039/501100001190,"Department of Business and Innovation, Victoria State Government",""
88,http://dx.doi.org/10.13039/501100000032,Institute of Infection and Immunity,""
89,http://dx.doi.org/10.13039/501100000723,Tenovus,""
90,http://dx.doi.org/10.13039/501100000082,Cystic Fibrosis Canada,""
91,http://dx.doi.org/10.13039/501100000705,"School of the Biological Sciences, University of Cambridge",""
92,http://dx.doi.org/10.13039/100003013,Indiana Humanities Council,""
93,http://dx.doi.org/10.13039/501100001199,Fellowships Fund Incorporated,""
94,http://dx.doi.org/10.13039/501100001192,Donovan Astronomical Trust,""
95,http://dx.doi.org/10.13039/501100000661,Higher Education Academy,""
96,http://dx.doi.org/10.13039/100004747,Amway Corporation,""
97,http://dx.doi.org/10.13039/501100000658,Myotubular Trust,""
98,http://dx.doi.org/10.13039/501100000654,Marie Curie Cancer Care,""
99,http://dx.doi.org/10.13039/501100000652,Lord Dowding Fund,""
100,http://dx.doi.org/10.13039/100004734,"DIRECTV, Inc.",""
101,http://dx.doi.org/10.13039/501100000643,Daphne Jackson Trust,""
102,http://dx.doi.org/10.13039/100004727,Ricoh Americas Corporation,""
103,http://dx.doi.org/10.13039/100006134,Office of Energy Efficiency and Renewable Energy,""
104,http://dx.doi.org/10.13039/100001940,American Lung Association in California,""
105,http://dx.doi.org/10.13039/100006138,Office of Environmental Management,""
106,http://dx.doi.org/10.13039/100006164,Office of Petroleum Reserves,""
107,http://dx.doi.org/10.13039/100006161,Office of Building Technologies Program,""
108,http://dx.doi.org/10.13039/100001937,American Floral Endowment,""
109,http://dx.doi.org/10.13039/100001918,Winn Dixie Foundation,""
