id,location,tag,url,license,photographer,source
2,100016_Solanum.jpg,Potato,http://gigadb.org/images/data/cropped/100016_Solanum.jpg,"Public Domain, US Government (USDA)",Scott Bauer,www.ars.usda.gov Image Number K9152-1
5,100039_Amazona_vittata.jpg,Puerto Rican parrot,http://gigadb.org/images/data/cropped/100039_parrot.jpg,CC0,Taras Oleksyk,"University of Puerto Rico at Mayagüez, PUERTO RICO"
8,100006_Pygoscelis_adeliae.jpg,Adelie penguin,http://gigadb.org/images/data/cropped/100006_Pygoscelis_adeliae.jpg,"Public Domain, US Government","Michael Van Woert, 1998","<a href=""http://www.photolib.noaa.gov/htmls/corp2479.htm"">NOAA Photo Library</a>"
9,100027_Pantholops_hodgsonii.jpg,Tibetan antelope,http://gigadb.org/images/data/cropped/100027_Pantholops_hodgsonii.jpg,CC Attribution 2.0 Generic,B_cool,Flickr
20,100011_Acromyrmex_echinatior.jpg,Leaf-cutting ant,http://gigadb.org/images/data/cropped/100011_Acromyrmex_echinatior.jpg,the content of all PLoS journals is published under the Creative Commons Attribution 2.5 license,"Scott Bauer, US Department of Agriculture","Restoring Nature's Backbone. Nicholls H, PLoS Biology Vol. 4/6/2006, e202 http://dx.doi.org/10.1371/journal.pbio.0040202"
22,100020_Setaria_italica.jpg,Foxtail millet,http://gigadb.org/images/data/cropped/100020_Setaria_italica.jpg,"GNU Free Documentation License, CC SA",Markus Hagenlocher,Wikimedia Commons
29,100002_Macaca_mulatta.jpg,Chinese Rhesus macaque,http://gigadb.org/images/data/cropped/100002_Macaca_mulatta.jpg,CC-BY,Geoff Gallice,Flickr: EOL Images
37,100013_YH.jpg,Han Chinese individual,http://gigadb.org/images/data/cropped/100013_YH.jpg,public domain because its copyright has expired,Unknown,"Wikimedia Commons, en:Image:HanGaozu.jpg"
38,100044_SOAPdenovo2.jpg,SOAPdenovo2 workflow,http://gigadb.org/images/data/cropped/100044_SOAPdenovo2.jpg,CC0,Peter Li,"Peter Li, GigaScience"
82,101001_Duck.png,Unknown,http://gigadb.org/images/data/cropped/101001_Duck.png,Public domain,Mallard duck,Unknown
83,101000.jpg,Bird moziac of darwin,http://gigadb.org/images/data/cropped/101000.jpg,CC0,individual bird images by Jon Fjeldså.,BGI
112,nestor_notabilis.png,Kea (<em>Nestor notabilis</em>).,http://gigadb.org/images/data/cropped/bird/nestor_notabilis.png,public domain,Jon Fjeldsa (jfjeldsaa@zmuc.ku.dk),Jon Fjeldsa (jfjeldsaa@zmuc.ku.dk)
148,wmiller.png,workflow,http://gigadb.org/images/data/cropped/wmiller.png,public domain,Peter Li,"Peter Li, GigaScience"
217,100044_SOAPdenovo2.jpg,SOAPdenovo2 workflow,http://gigadb.org/images/data/cropped/100044_SOAPdenovo2.jpg,CC0,Peter Li,Peter Li Gigascience
222,100155.jpg,Sorrowing old man,http://gigadb.org/images/data/cropped/100155.jpg,CC0,Vincent Willem van Gogh,WiKi
251,no_image.jpg,Partial optical map of GM12878 HapMap cell line,"",CC-BY,Audrey Teo,OpGen Argus system image
268,100198.jpg,Male and female sarcoptes scabiei,http://gigadb.org/images/data/cropped/100198.jpg,Public Domain,wikimedia,By Unknown - Popular Science Monthly Volume 14
270,100197_ssol.jpg,Schistocephalus solidus,http://gigadb.org/images/data/cropped/100197_ssol.jpg,CC-BY-SA,F. Olivier Hebert,"University of Leicester, England"
275,100195.jpg,Agouti workflow,http://gigadb.org/images/data/cropped/100195.jpg,CC0,Simo Zhang,Simo Zhang
278,100208.jpg,INC-Seq,http://gigadb.org/images/data/cropped/100208.jpg,CC0,GIS,GIS
318,100243.gif,Fig3. Temperature variation 2013-15,http://gigadb.org/images/data/cropped/100243.gif,CC0,Munoz et al 2016,Munoz et al 2016
