id,dataset_id,is_primary,link,description
1,1,t,BioProject:PRJNA170655,
2,1,t,GEO:GSE39328,
3,1,f,SRA:SRP014316,
4,2,f,SRA:SRP007439,
5,2,f,ENA:ERP000411,
6,2,f,ENA:ERP000627,
7,3,f,SRA:SRA045646,
8,3,f,SRA:SRA050230,
10,4,t,SRA:SRA040229,
11,4,t,SRA:SRA043580,
12,4,t,GEO:GSE31012,
13,5,t,ENA:PRJEB225,
14,5,t,BioProject:PRJNA171587,
15,6,t,GENBANK:AKZB00000000,
16,6,t,BioProject:PRJNA156703,
17,6,f,SRA:SRA051234,
18,7,t,SRA:SRP006388,
19,10,t,GENBANK:AFTD00000000,
20,10,f,SRA:SRP007645,
21,10,f,SRA:SRP007625,
22,11,t,GENBANK:AENI00000000,
23,12,t,ERA:ERP001196,
24,12,f,GEO:GSE25097,
25,13,t,BioProject:PRJNA51411,
26,13,t,GENBANK:AEHL00000000,
27,13,f,SRA:SRP003591,
28,14,t,BioProject:PRJNA33619,
29,14,t,GENBANK:ACHR00000000,
30,15,t,SRA:SRP006916,
31,15,t,BioProject:PRJNA67657,
32,17,t,BioProject:PRJNA50201,
33,17,t,GENBANK:AEAB00000000,
34,17,f,SRA:SRP002786,
35,17,f,GEO:GSE22680,
36,18,t,SRA:SRA048741,
37,19,t,BioProject:PRJNA50203,
38,19,t,GENBANK:AEAC00000000,
39,19,f,SRA:SRP002786,
40,19,f,GEO:GSE22680,
41,20,f,ENA:ERP000666,
42,4,t,GENBANK:AFTI01000000,
43,21,t,SRA:SRA051254,
44,21,t,BioProject:PRJNA144099,
45,21,t,GENBANK:AJKK01000000,
46,22,t,BioProject:PRJNA77795,
47,22,t,BioProject:PRJNA73995,
48,22,f,SRA:SRA048234,
49,23,t,GEO:GSE27468,
50,23,t,SRA:SRP005934,
51,23,t,BioProject:PRJNA138437,
52,24,t,BioProject:PRJNA68323,
53,24,t,GENBANK:AFSB00000000,
54,24,f,SRA:SRP005951,
55,24,f,GEO:GSE30337,
56,25,t,SRA:SRP000962,
57,25,t,BioProject:PRJNA38683,
58,25,t,GENBANK:ACTA00000000,
59,29,t,BioProject:PRJNA51409,
60,29,t,GENBANK:AEHK00000000,
61,29,f,SRA:SRP003590,
62,30,f,SRA:SRP010159,
63,31,t,SRA:SRP001453,
64,31,t,BioProject:PRJNA46213,
65,32,f,SRA:SRP011039,
66,32,f,BioProject:PRJNA78265,
67,34,f,SRA:SRP001012,
68,35,f,SRA:SRA051489,
69,36,t,dbVar:nstd63,
70,36,t,SRA:SRP008750,
71,36,t,GENBANK:AHAO00000000,
72,36,t,GENBANK:AHAP00000000,
73,36,t,GENBANK:AHAQ00000000,
74,36,t,http://www.ncbi.nlm.nih.gov/projects/SNP/snp_viewBatch.cgi?sbid=1056306,
75,36,t,http://www.ncbi.nlm.nih.gov/projects/SNP/snp_viewBatch.cgi?sbid=1056307,
76,36,t,http://www.ncbi.nlm.nih.gov/projects/SNP/snp_viewBatch.cgi?sbid=1056308,
77,37,t,ENA:ERP000053,
78,37,t,BioProject:PRJEA39173,
79,38,t,SRA:SRP002339,
80,38,t,GEO:GSE17972,
81,39,t,SRA:SRP007605,
82,40,t,ENA:ERP001652,
83,5,t,GENBANK:AOCU01000000,
84,26,t,GENBANK:AKCR00000000,
85,26,t,BioProject:PRJNA167554,
86,26,f,SRA:SRA052637,
87,26,f,GEO:GSE39333,
88,26,f,SRA:SRA054391,
89,42,t,SRA:SRA067357,
90,44,t,SRA:SRP005973,
91,45,t,SRA:SRP017494,
92,9,t,GENBANK:AGTT01000000,
95,56,f,SRA:SRP008537,
98,55,t,PeptideAtlas:PASS00087,
99,57,t,SRA:ERP002324,
100,57,t,SRA:SRA026860,
