id,identifier,pmid,dataset_id,is_pre_print
1,10.1186/gb-2012-13-10-r100,23075480,1,false
2,10.1038/nature10158,21743474,2,false
3,10.1038/nature11450,23023125,3,false
4,10.1038/nature11413,22992520,4,false
5,10.1126/science.1211177,21940856,7,false
6,10.1038/nbt.1932,21804562,10,false
7,10.1038/ng.919,21873998,11,false
8,10.1038/ng.2295,22634754,12,false
9,10.1038/nbt.1992,22002653,13,false
10,10.1159/000151320,18931490,14,false
11,10.1038/ng.475,19881527,14,false
12,10.1371/journal.pone.0005795,19495411,14,false
13,10.1056/NEJMoa1107643,21793736,15,false
14,10.1126/science.1192428,20798317,17,false
15,10.1002/hep.25850,22610944,18,false
16,10.1126/science.1192428,20798317,19,false
17,10.1101/gr.121392.111,21719571,20,false
18,10.1186/2047-217X-1-16,23587058,21,false
19,10.1038/nbt.2195,22580950,22,false
20,10.1186/2047-217X-1-3,23587164,23,false
21,10.1038/nature10533,21993625,24,false
22,10.1038/nature08696,20010809,25,false
23,10.1038/nbt.2022,22057054,28,false
24,10.1038/nbt.1992,22002653,29,false
25,10.1038/nature10553,22031327,30,false
26,10.1038/nature08835,20148029,31,false
27,10.1038/ng.1065,22246508,32,false
28,10.1111/j.1365-2052.2010.02100.x,20809919,33,false
29,10.1126/science.1176620,19713493,34,false
30,10.1186/2047-217X-1-12,23587365,35,false
31,10.1186/gb-2011-12-11-r114,22104744,36,false
32,10.1038/nature07484,18987735,37,false
33,10.1371/journal.pbio.1000533,21085693,38,false
34,10.1038/nbt.2122,22327324,39,false
35,10.1186/2047-217X-1-18,23587118,41,false
36,10.1126/science.1230422,23371554,26,false
37,10.1038/ncomms2860,23673643,9,false
38,10.1534/genetics.113.153049,23695301,56,false
39,10.1038/nature11997,23535596,44,false
40,10.1038/nbt.2280,22750884,60,false
41,10.1186/2047-217X-1-14,23587420,5,false
42,10.1186/2047-217X-1-17,23587100,5,false
43,10.1186/2047-217X-1-13,23587407,5,false
44,10.1186/2047-217X-2-4,23587339,42,false
45,10.1186/2047-217X-2-4,23587339,43,false
46,10.1021/pr301153z,23544749,55,false
47,10.1074/mcp.M112.025817,23665590,52,false
48,10.1186/2047-217X-2-6,23628139,54,false
49,10.1073/pnas.1219082110,23610408,45,false
