id,dataset_id,related_doi,relationship_id
1,38,100015,3
3,37,100013,4
4,37,100014,4
5,40,100015,9
6,37,100038,10
7,41,100038,18
8,40,100044,17
9,42,100046,4
10,43,100045,3
11,57,100061,4
12,57,100062,4
13,58,100060,4
14,58,100062,4
15,59,100060,3
16,59,100061,3
17,64,100055,11
18,65,100055,11
19,65,100056,4
20,65,100057,4
21,53,100056,12
22,53,100057,12
23,53,100058,12
24,63,100055,11
25,63,100057,4
26,63,100058,4
27,64,100056,4
28,64,100058,4
29,78,101006,4
30,79,100075,4
31,80,101000,3
32,82,101000,3
33,83,101000,3
34,84,101000,3
35,85,101000,3
36,86,101000,3
37,87,101000,3
38,88,101000,3
39,89,101000,3
40,90,101000,3
41,91,101000,3
42,92,101000,3
43,93,101000,3
44,94,101000,3
45,95,101000,3
46,96,101000,3
47,97,101000,3
48,98,101000,3
49,99,101000,3
50,100,101000,3
51,101,101000,3
52,102,101000,3
53,103,101000,3
54,104,101000,3
55,105,101000,3
56,106,101000,3
57,107,101000,3
58,108,101000,3
59,109,101000,3
60,110,101000,3
61,111,101000,3
62,112,101000,3
63,113,101000,3
64,114,101000,3
65,115,101000,3
66,116,101000,3
67,117,101000,3
68,118,101000,3
69,138,101000,3
70,146,100038,3
71,40,100097,4
72,150,100038,3
73,150,100097,3
74,40,100096,4
75,146,100096,4
76,165,100125,11
77,166,100125,11
78,160,100126,12
79,160,100127,12
80,160,100128,12
81,164,100125,11
82,172,101000,6
83,205,100044,9
84,41,100148,10
85,219,100108,14
86,148,100146,13
87,237,100165,3
88,236,100182,4
89,250,100155,5
91,255,200001,14
92,142,100199,13
93,268,100020,14
94,22,100213,13
95,273,100011,2
96,20,100211,1
97,278,100215,11
99,280,100215,11
98,279,100215,11
100,281,100215,11
101,282,100215,11
102,283,100215,11
103,284,100215,11
104,285,100215,11
105,286,100215,11
106,287,100215,11
107,288,100215,11
108,289,100215,11
109,290,100215,11
110,291,100215,11
111,292,100215,11
112,293,100215,11
113,294,100215,11
114,295,100215,11
115,296,100215,11
116,297,100215,11
117,298,100215,11
118,299,100215,11
119,300,100215,11
120,276,100216,12
121,276,100217,12
122,276,100218,12
123,276,100219,12
124,276,100220,12
125,276,100221,12
126,276,100222,12
127,276,100223,12
128,276,100224,12
129,276,100225,12
130,276,100226,12
131,276,100227,12
132,276,100228,12
133,276,100229,12
134,276,100230,12
135,276,100231,12
136,276,100232,12
137,276,100233,12
138,276,100234,12
139,276,100235,12
140,276,100236,12
141,276,100237,12
142,276,100238,12
143,315,100064,2
144,70,200012,2
