id,name,reciprocal_name
1,IsCitedBy,Cites
2,Cites,IsCitedBy
3,IsSupplementTo,IsSupplementedBy
4,IsSupplementedBy,IsSupplementTo
5,IsContinuedBy,Continues
6,Continues,IsContinuedBy
7,HasMetadata,IsMetadataFor
8,IsMetadataFor,HasMetadata
9,IsNewVersionOf,IsPreviousVersionOf
10,IsPreviousVersionOf,IsNewVersionOf
11,IsPartOf,HasPart
12,HasPart,IsPartOf
13,IsReferencedBy,References
14,References,IsReferencedBy
15,IsDocumentedBy,Documents
16,Documents,IsDocumentedBy
17,IsCompiledBy,Compiles
18,Compiles,IsCompiledBy
19,IsVariantFormOf,IsOriginalFormOf
20,IsOriginalFormOf,IsVariantFormOf
21,IsIdenticalTo,IsIdenticalTo
