id,tax_id,common_name,genbank_name,scientific_name,eol_link
2,4113,Potato,potato,Solanum tuberosum,
5,241585,Puerto Rican parrot,Puerto Rican parrot,Amazona vittata,
7,9606,Human,human,Homo sapiens,
8,9238,Adelie penguin,Adelie penguin,Pygoscelis adeliae,
9,59538,Tibetan antelope,chiru,Pantholops hodgsonii,
18,103372,Leafcutter ant,Panamanian leafcutter ant,Acromyrmex echinatior,
20,4555,Foxtail millet,foxtail millet,Setaria italica,
27,9544,Rhesus macaque,Rhesus monkey,Macaca mulatta,
53,8839,Mallard duck,mallard,Anas platyrhynchos,
54,9031,Chicken,"Chicken","Chicken",
55,9103,Turkey,"Chicken","Turkey",
56,59729,Zebrafinch,"Chicken","Zebrafinch",
85,176057,Kea,Kea,Nestor notabilis,
3422,4081,,tomato,Solanum lycopersicum,
5169,6239,roundworm,,Caenorhabditis elegans,
32145,52283,,,Sarcoptes scabiei,
47984,70667,,,Schistocephalus solidus,
112346,142760,,,Solanum lycopersicoides,
1128866,256318,metagenome,"metagenome","metagenome",
