Source Sector,Year,Anuual Greenhouse Gas Emissions (Mt CO2-eq.)
Energy Supply,1990,22.73372768
Energy Supply,1995,26.75569909
Energy Supply,1998,25.78861098
Energy Supply,1999,23.35671956
Energy Supply,2000,26.2831721
Energy Supply,2001,25.61400844
Energy Supply,2002,23.53545257
Energy Supply,2003,23.70647606
Energy Supply,2004,21.92646666
Energy Supply,2005,20.77266015
Energy Supply,2006,24.65548234
Energy Supply,2007,21.40825367
Energy Supply,2008,20.07860545
Energy Supply,2009,18.68694094
Energy Supply,2010,20.88647137
Energy Supply,2011,17.02158705
Energy Supply,2012,17.41930234
Energy Supply,2013,15.96598139
Energy Supply,2014,13.86234903
Energy Supply,2015,12.21861147
Energy Supply,2016,7.159352393
Transport (including International Aviation and Shipping),1990,14.76126583
Transport (including International Aviation and Shipping),1995,15.71168781
Transport (including International Aviation and Shipping),1998,16.35111246
Transport (including International Aviation and Shipping),1999,16.27744347
Transport (including International Aviation and Shipping),2000,15.57499851
Transport (including International Aviation and Shipping),2001,15.41971811
Transport (including International Aviation and Shipping),2002,15.77736859
Transport (including International Aviation and Shipping),2003,15.55685329
Transport (including International Aviation and Shipping),2004,15.65928932
Transport (including International Aviation and Shipping),2005,15.83751074
Transport (including International Aviation and Shipping),2006,15.82360655
Transport (including International Aviation and Shipping),2007,16.13763676
Transport (including International Aviation and Shipping),2008,15.53916399
Transport (including International Aviation and Shipping),2009,14.85717268
Transport (including International Aviation and Shipping),2010,14.3374741
Transport (including International Aviation and Shipping),2011,13.92337392
Transport (including International Aviation and Shipping),2012,13.67127268
Transport (including International Aviation and Shipping),2013,13.55842413
Transport (including International Aviation and Shipping),2014,13.76550031
Transport (including International Aviation and Shipping),2015,14.07769135
Transport (including International Aviation and Shipping),2016,14.39727256
Transport (excluding IA&S),1990,13.46019878
Transport (excluding IA&S),1995,14.23602577
Transport (excluding IA&S),1998,14.62089394
Transport (excluding IA&S),1999,14.71500448
Transport (excluding IA&S),2000,14.16517486
Transport (excluding IA&S),2001,13.88747051
Transport (excluding IA&S),2002,14.4021919
Transport (excluding IA&S),2003,14.24211182
Transport (excluding IA&S),2004,14.1680234
Transport (excluding IA&S),2005,14.236862
Transport (excluding IA&S),2006,14.13600185
Transport (excluding IA&S),2007,14.39945853
Transport (excluding IA&S),2008,13.76661634
Transport (excluding IA&S),2009,13.23278608
Transport (excluding IA&S),2010,12.91173006
Transport (excluding IA&S),2011,12.37591627
Transport (excluding IA&S),2012,12.21584523
Transport (excluding IA&S),2013,12.02723468
Transport (excluding IA&S),2014,12.15102589
Transport (excluding IA&S),2015,12.37939695
Transport (excluding IA&S),2016,12.57942653
International Aviation and Shipping (IA&S),1990,1.301067055
International Aviation and Shipping (IA&S),1995,1.475662038
International Aviation and Shipping (IA&S),1998,1.730218522
International Aviation and Shipping (IA&S),1999,1.56243899
International Aviation and Shipping (IA&S),2000,1.409823643
International Aviation and Shipping (IA&S),2001,1.532247596
International Aviation and Shipping (IA&S),2002,1.375176692
International Aviation and Shipping (IA&S),2003,1.314741467
International Aviation and Shipping (IA&S),2004,1.491265914
International Aviation and Shipping (IA&S),2005,1.600648739
International Aviation and Shipping (IA&S),2006,1.687604701
International Aviation and Shipping (IA&S),2007,1.738178228
International Aviation and Shipping (IA&S),2008,1.772547647
International Aviation and Shipping (IA&S),2009,1.624386607
International Aviation and Shipping (IA&S),2010,1.425744044
International Aviation and Shipping (IA&S),2011,1.54745765
International Aviation and Shipping (IA&S),2012,1.455427444
International Aviation and Shipping (IA&S),2013,1.531189448
International Aviation and Shipping (IA&S),2014,1.614474423
International Aviation and Shipping (IA&S),2015,1.698294407
International Aviation and Shipping (IA&S),2016,1.817846031
Agriculture and Related Land Use,1990,13.91760714
Agriculture and Related Land Use,1995,14.13338563
Agriculture and Related Land Use,1998,14.02439822
Agriculture and Related Land Use,1999,13.91150175
Agriculture and Related Land Use,2000,13.67706718
Agriculture and Related Land Use,2001,13.2321106
Agriculture and Related Land Use,2002,12.88219089
Agriculture and Related Land Use,2003,12.97123441
Agriculture and Related Land Use,2004,12.53697217
Agriculture and Related Land Use,2005,12.28595865
Agriculture and Related Land Use,2006,11.91842016
Agriculture and Related Land Use,2007,11.90422498
Agriculture and Related Land Use,2008,11.24230581
Agriculture and Related Land Use,2009,11.17453535
Agriculture and Related Land Use,2010,11.11564848
Agriculture and Related Land Use,2011,10.71328102
Agriculture and Related Land Use,2012,10.51407476
Agriculture and Related Land Use,2013,10.42889915
Agriculture and Related Land Use,2014,10.4458706
Agriculture and Related Land Use,2015,10.16090232
Agriculture and Related Land Use,2016,10.04905286
Business and Industrial process,1990,14.39867866
Business and Industrial process,1995,11.18361799
Business and Industrial process,1998,11.16286554
Business and Industrial process,1999,11.38677778
Business and Industrial process,2000,11.29489948
Business and Industrial process,2001,11.60387143
Business and Industrial process,2002,10.78784793
Business and Industrial process,2003,10.99233914
Business and Industrial process,2004,10.93663812
Business and Industrial process,2005,10.56271743
Business and Industrial process,2006,10.29555872
Business and Industrial process,2007,9.94787898
Business and Industrial process,2008,10.44011955
Business and Industrial process,2009,9.212970243
Business and Industrial process,2010,9.419196524
Business and Industrial process,2011,9.109260811
Business and Industrial process,2012,9.002199573
Business and Industrial process,2013,9.185229428
Business and Industrial process,2014,8.670951233
Business and Industrial process,2015,8.668783513
