id,dataset_id,name,location,extension,size,description,date_stamp,format_id,type_id,code,index4blast,download_count,alternative_location
28,2,readme.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/readme.txt,txt,802,"",2011-11-12,1,1,,,0,
29,2,PGSC0003DM.superscaffold.fa.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/PGSC0003DM.superscaffold.fa.gz,fa,202252306,"",2011-11-12,2,132,DM1-3 516R44,,0,
30,2,chr01.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr01.agp.seq,seq,94632229,"",2011-11-12,2,132,DM1-3 516R44,,0,
31,2,chr02.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr02.agp.seq,seq,69870131,"",2011-11-12,2,132,DM1-3 516R44,,0,
32,2,chr03.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr03.agp.seq,seq,47880319,"",2011-11-12,2,132,DM1-3 516R44,,0,
33,2,chr04.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr04.agp.seq,seq,64339890,"",2011-11-12,2,132,DM1-3 516R44,,0,
34,2,chr05.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr05.agp.seq,seq,61095893,"",2011-11-12,2,132,DM1-3 516R44,,0,
35,2,chr06.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr06.agp.seq,seq,54975357,"",2011-11-12,2,132,DM1-3 516R44,,0,
36,2,chr07.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr07.agp.seq,seq,53427896,"",2011-11-12,2,132,DM1-3 516R44,,0,
37,2,chr08.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr08.agp.seq,seq,43648439,"",2011-11-12,2,132,DM1-3 516R44,,0,
38,2,chr09.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr09.agp.seq,seq,53640111,"",2011-11-12,2,132,DM1-3 516R44,,0,
39,2,chr10.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr10.agp.seq,seq,52313514,"",2011-11-12,2,132,DM1-3 516R44,,1,
40,2,chr11.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr11.agp.seq,seq,42253936,"",2011-11-12,2,132,DM1-3 516R44,,0,
41,2,chr12.agp.seq,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/pseudo_molecule_sequences-v2.1.9/chr12.agp.seq,seq,67798049,"",2011-11-12,2,132,DM1-3 516R44,,0,
42,2,potato_v3.4_renum_representative_model_cds.fa,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/potato_v3.4_renum_representative_model_cds.fa,fa,38635111,"",2011-11-12,2,4,DM1-3 516R44,,0,
43,2,potato_v3.4_renum_representative_model_pep.fa,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/potato_v3.4_renum_representative_model_pep.fa,fa,15209395,"",2011-11-12,2,5,DM1-3 516R44,,0,
44,2,potato_v3.4_renum_representative_transcript.gff,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100016/potato_v3.4_renum_representative_transcript.gff,gff,50251883,"",2011-11-12,5,6,DM1-3 516R44,,0,
446,5,readme.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/readme.txt,txt,1077,"",2012-09-11,1,1,,,0,
447,5,Pa9a_assembly_config4.contig.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Pa9a_assembly_config4.contig.gz,contig,595630059,"",2012-09-11,2,9,A. vittata,,2,
448,5,Pa9a_assembly_config4.scafSeq.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Pa9a_assembly_config4.scafSeq.gz,scafSeq,441847022,"",2012-09-11,2,132,A. vittata,,1,
449,5,Parrot.k31.ContigLengths.txt.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.ContigLengths.txt.gz,txt,2157050,"",2012-09-11,1,131,A. vittata,,1,
450,5,Parrot.k31.Contigs.fasta.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.Contigs.fasta.gz,fasta,354964397,"",2012-09-11,2,9,A. vittata,,2,
451,5,Parrot.k31.CoverageDistribution.txt.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.CoverageDistribution.txt.gz,txt,80023,"",2012-09-11,1,7,A. vittata,,0,
452,5,Parrot.k31.CoverageDistributionAnalysis.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.CoverageDistributionAnalysis.txt,txt,317,"",2012-09-11,1,7,A. vittata,,0,
453,5,Parrot.k31.Library1.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.Library1.txt,txt,4245,"",2012-09-11,1,7,A. vittata,,0,
454,5,Parrot.k31.LibraryStatistics.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.LibraryStatistics.txt,txt,593,"",2012-09-11,1,7,A. vittata,,0,
455,5,Parrot.k31.MessagePassingInterface.txt.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.MessagePassingInterface.txt.gz,txt,38796889,"",2012-09-11,1,7,A. vittata,,0,
456,5,Parrot.k31.NetworkTest.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.NetworkTest.txt,txt,4374,"",2012-09-11,1,7,A. vittata,,0,
457,5,Parrot.k31.NumberOfSequences.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.NumberOfSequences.txt,txt,582,"",2012-09-11,1,7,A. vittata,,0,
458,5,Parrot.k31.OutputNumbers.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.OutputNumbers.txt,txt,472,"",2012-09-11,1,7,A. vittata,,0,
459,5,Parrot.k31.RayCommand.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.RayCommand.txt,txt,160,"",2012-09-11,1,7,A. vittata,,0,
460,5,Parrot.k31.RayVersion.txt,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.RayVersion.txt,txt,25,"",2012-09-11,1,7,A. vittata,,0,
461,5,Parrot.k31.ScaffoldComponents.txt.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.ScaffoldComponents.txt.gz,txt,3682825,"",2012-09-11,1,7,A. vittata,,0,
462,5,Parrot.k31.ScaffoldLengths.txt.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.ScaffoldLengths.txt.gz,txt,1130536,"",2012-09-11,1,7,A. vittata,,1,
463,5,Parrot.k31.ScaffoldLinks.txt.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.ScaffoldLinks.txt.gz,txt,1370283,"",2012-09-11,1,7,A. vittata,,0,
464,5,Parrot.k31.Scaffolds.fasta.gz,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100039/Assembly-2011/Parrot.k31/Parrot.k31.Scaffolds.fasta.gz,fasta,352333723,"",2012-09-11,2,132,A. vittata,,1,
